2010/01/05,AFCアジアカップ2011カタール予選　,2 - 3,イエメン,Lose,アジア,
2010/02/02,キリンチャレンジカップ2010,0 - 0,ベネズエラ,Draw,南米,
2010/02/06,東アジアサッカー選手権2010 決勝大会,0 - 0,中国,Draw,アジア,
2010/02/11,東アジアサッカー選手権2010 決勝大会,3 - 0,香港,Win,アジア,
2010/02/14,東アジアサッカー選手権2010 決勝大会,1 - 3,韓国,Lose,アジア,
2010/03/03,AFCアジアカップ2011カタール予選,2 - 0,バーレーン,Win,アジア,
2010/04/07,キリンチャレンジカップ2010,0 - 3,セルビア,Lose,欧州,
2010/05/24,キリンチャレンジカップ2010,0 - 2,韓国,Lose,アジア,
2010/05/30,国際親善試合,1 - 2,イングランド,Lose,欧州,
2010/06/04,国際親善試合,0 - 2,コートジボワール,Lose,アフリカ,
2010/06/14,2010 FIFAワールドカップ南アフリカ,1 - 0,カメルーン,Win,アフリカ,W杯本戦
2010/06/19,2010 FIFAワールドカップ南アフリカ,0 - 1,オランダ,Lose,欧州,W杯本戦
2010/06/24,2010 FIFAワールドカップ南アフリカ,3 - 1,デンマーク,Win,欧州,W杯本戦
2010/06/29,2010 FIFAワールドカップ南アフリカ,0 - 0 PK3-5,パラグアイ,Lose,南米,W杯本戦
2010/09/04,キリンチャレンジカップ2010,1 - 0,パラグアイ,Win,南米,
2010/09/07,キリンチャレンジカップ2010,2 - 1,グアテマラ,Win,北中米カリブ海,
2010/10/08,キリンチャレンジカップ2010,1 - 0,アルゼンチン,Win,南米,
2010/10/12,国際親善試合,0 - 0,韓国,Draw,アジア,
2011/01/09,AFCアジアカップ2011カタール　,1 - 1,ヨルダン,Draw,アジア,
2011/01/13,AFCアジアカップ2011カタール,2 - 1,シリア,Win,アジア,
2011/01/17,AFCアジアカップ2011カタール,5 - 0,サウジアラビア,Win,アジア,
2011/01/21,AFCアジアカップ2011カタール,3 - 2,カタール,Win,アジア,
2011/01/25,AFCアジアカップ2011カタール,2 - 2 PK3-0,韓国,Win,アジア,
2011/01/29,AFCアジアカップ2011カタール,1 -0,オーストラリア,Win,アジア,
2011/03/29,東北地方太平洋沖地震復興支援チャリティーマッチ,2-1,Jリーグ選抜,Win,その他,
2011/06/01,キリンカップサッカー2011,0-0,ペルー,Draw,南米,
2011/06/07,キリンカップサッカー2011,0-0,チェコ,Draw,欧州,
2011/08/10,キリンチャレンジカップサッカー2011,3-0,韓国,Win,アジア,
2011/09/02,2014FIFAワールドカップブラジル　アジア3次予選,1-0,朝鮮民主主義人民共和国,Win,アジア,W杯予選
2011/09/06,2014FIFAワールドカップブラジル　アジア3次予選,1-1,ウズベキスタン,Draw,アジア,W杯予選
2011/10/07,キリンチャレンジカップサッカー2011,1-0,ベトナム,Win,アジア,
2011/10/11,2014FIFAワールドカップブラジル　アジア3次予選,8-0,タジキスタン,Win,アジア,W杯予選
2011/11/11,2014FIFAワールドカップブラジル　アジア3次予選,4-0,タジキスタン,Win,アジア,W杯予選
2011/11/15,2014FIFAワールドカップブラジル　アジア3次予選,0-1,朝鮮民主主義人民共和国,Lose,アジア,W杯予選
2012/02/24,キリンチャレンジカップ2012,3 - 1,アイスランド,Win,欧州,
2012/02/29,2014FIFAワールドカップブラジル　アジア3次予選,0 - 1,ウズベキスタン,Lose,アジア,W杯予選
2012/05/23,キリンチャレンジカップ2012,2 - 0,アゼルバイジャン,Win,欧州,
2012/06/03,2014FIFAワールドカップブラジル　アジア最終予選,3 - 0,オマーン,Win,アジア,W杯予選
2012/06/08,2014FIFAワールドカップブラジル　アジア最終予選,6 - 0,ヨルダン,Win,アジア,W杯予選
2012/06/12,2014FIFAワールドカップブラジル　アジア最終予選,1 - 1,オーストラリア,Draw,アジア,W杯予選
2012/08/15,キリンチャレンジカップ2012,1 - 1,ベネズエラ,Draw,南米,
2012/09/06,キリンチャレンジカップ2012,1 - 0,アラブ首長国連邦,Win,アジア,
2012/09/11,2014FIFAワールドカップブラジル　アジア最終予選,1 - 0,イラク,Win,アジア,W杯予選
2012/10/12,国際親善試合,1 - 0,フランス,Win,欧州,
2012/10/16,国際親善試合,0 - 4,ブラジル,Lose,南米,
2012/11/14,2014FIFAワールドカップブラジル　アジア最終予選,2 - 1,オマーン,Win,アジア,W杯予選
2013/02/06,キリンチャレンジカップ2013,3-0,ラトビア,Win,欧州,
2013/03/22,国際親善試合,2-1,カナダ,Win,北中米カリブ海,
