o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
日本ハム,五十幡,ソフトバンク,甲斐,澤柳 亮太郎,2024-08-04,0,1,2024RS
日本ハム,松本剛,ソフトバンク,甲斐,澤柳 亮太郎,2024-08-04,0,1,2024RS
ロッテ,岡,ソフトバンク,甲斐,石川 柊太,2024-08-08,1,0,2024RS
ロッテ,和田,ソフトバンク,甲斐,ヘルナンデス,2024-08-08,1,0,2024RS
楽天,辰巳,ソフトバンク,甲斐,有原 航平,2024-08-10,1,0,2024RS
楽天,小郷,ソフトバンク,甲斐,有原 航平,2024-08-10,1,0,2024RS
楽天,辰巳,ソフトバンク,海野,大関 友久,2024-08-12,1,0,2024RS
西武,源田,ソフトバンク,甲斐,モイネロ,2024-08-13,1,0,2024RS
西武,外崎,ソフトバンク,---,石川 柊太,2024-08-15,0,1,2024RS
西武,西川,ソフトバンク,---,石川 柊太,2024-08-15,0,1,2024RS
ロッテ,小川,ソフトバンク,甲斐,スチュワート・ジュニア,2024-08-17,1,0,2024RS
日本ハム,浅間,ソフトバンク,甲斐,藤井 皓哉,2024-08-23,0,1,2024RS
日本ハム,郡司,ソフトバンク,甲斐,スチュワート・ジュニア,2024-08-24,0,1,2024RS
日本ハム,清宮,ソフトバンク,甲斐,スチュワート・ジュニア,2024-08-24,0,1,2024RS
---,---,ソフトバンク,甲斐,---,2024-12-01,-4,3,2024RS
日本ハム,江越,ソフトバンク,甲斐,田浦 文丸,2024-09-03,1,0,2024RS
西武,長谷川,ソフトバンク,甲斐,スチュワート・ジュニア,2024-09-07,1,0,2024RS
西武,源田,ソフトバンク,甲斐,スチュワート・ジュニア,2024-09-07,1,0,2024RS
西武,山野辺,ソフトバンク,甲斐,スチュワート・ジュニア,2024-09-07,1,0,2024RS
西武,奥村,ソフトバンク,甲斐,スチュワート・ジュニア,2024-09-07,1,0,2024RS
楽天,小郷,ソフトバンク,甲斐,石川 柊太,2024-09-10,1,0,2024RS
楽天,小深田,ソフトバンク,甲斐,石川 柊太,2024-09-10,1,0,2024RS
楽天,阿部,ソフトバンク,海野,大関 友久,2024-09-11,1,0,2024RS
オリックス,セデーニョ,ソフトバンク,---,有原 航平,2024-09-13,0,1,2024RS
オリックス,大里,ソフトバンク,甲斐,杉山 一樹,2024-09-15,1,0,2024RS
