o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
中日,大島,巨人,大城,高橋,2021/04/01,1,0,2021RS
ヤクルト,渡邉,巨人,大城,ビエイラ,2021/04/02,1,0,2021RS
ヤクルト,村上,巨人,大城,今村,2021/04/04,1,0,2021RS
ヤクルト,塩見,巨人,大城,今村,2021/04/04,1,0,2021RS
阪神,糸原,巨人,大城,畠,2021/04/07,1,0,2021RS
広島,曽根,巨人,炭谷,菅野,2021/04/09,1,0,2021RS
広島,菊池涼,巨人,炭谷,戸郷,2021/04/10,1,0,2021RS
広島,鈴木誠,巨人,炭谷,ビエイラ,2021/04/10,1,0,2021RS
広島,鈴木誠,巨人,---,ビエイラ,2021/04/10,0,1,2021RS
広島,羽月,巨人,炭谷,ビエイラ,2021/04/10,1,0,2021RS
中日,福田,巨人,大城,サンチェス,2021/04/13,0,1,2021RS
中日,京田,巨人,大城,デラロサ,2021/04/14,1,0,2021RS
中日,根尾,巨人,大城,高橋,2021/04/15,0,1,2021RS
横浜,大和,巨人,大城,今村,2021/04/18,1,0,2021RS
阪神,佐藤輝,巨人,大城,平内,2021/04/20,0,1,2021RS
阪神,山本,巨人,大城,高梨,2021/04/21,1,0,2021RS
広島,鈴木誠,巨人,炭谷,鍵谷,2021/04/24,1,0,2021RS
広島,西川,巨人,大城,今村,2021/04/25,0,1,2021RS
広島,羽月,巨人,大城,今村,2021/04/25,1,0,2021RS
ヤクルト,村上,巨人,大城,野上,2021/04/27,1,0,2021RS
ヤクルト,塩見,巨人,大城,中川,2021/04/27,1,0,2021RS
中日,高松,巨人,大城,菅野,2021/04/30,0,1,2021RS
中日,ビシエド,巨人,大城,鍵谷,2021/04/30,0,1,2021RS
中日,福田,巨人,大城,田中豊,2021/05/01,1,0,2021RS
中日,京田,巨人,大城,ビエイラ,2021/05/01,1,0,2021RS
広島,西川,巨人,大城,畠,2021/05/03,0,1,2021RS
広島,羽月,巨人,炭谷,サンチェス,2021/05/05,1,0,2021RS
ヤクルト,村上,巨人,炭谷,大江,2021/05/07,1,0,2021RS
ヤクルト,オスナ,巨人,---,大江,2021/05/07,1,0,2021RS
横浜,桑原,巨人,大城,戸郷,2021/05/11,0,1,2021RS
阪神,梅野,巨人,炭谷,サンチェス,2021/05/15,1,0,2021RS
広島,曽根,巨人,炭谷,高梨,2021/05/18,1,0,2021RS
中日,高松,巨人,炭谷,デラロサ,2021/05/22,1,0,2021RS
楽天,岡島,巨人,大城,戸郷,2021/05/25,0,1,2021RS
楽天,茂木,巨人,大城,戸郷,2021/05/25,0,1,2021RS
ソフトバンク,牧原大,巨人,大城,畠,2021/05/28,1,0,2021RS
西武,金子,巨人,炭谷,ビエイラ,2021/06/02,1,0,2021RS
日本ハム,石井,巨人,大城,戸郷,2021/06/05,0,1,2021RS
日本ハム,五十幡,巨人,小林,菅野,2021/06/06,1,0,2021RS
日本ハム,杉谷,巨人,大城,ビエイラ,2021/06/06,1,0,2021RS
ロッテ,加藤,巨人,大城,戸郷,2021/06/12,0,1,2021RS
ロッテ,柿沼,巨人,大城,畠,2021/06/13,0,1,2021RS
ロッテ,岡,巨人,大城,中川,2021/06/13,1,0,2021RS
阪神,植田,巨人,炭谷,ビエイラ,2021/06/20,1,0,2021RS
ヤクルト,村上,巨人,大城,メルセデス,2021/06/25,0,1,2021RS
ヤクルト,塩見,巨人,大城,高橋,2021/06/27,1,0,2021RS
広島,坂倉,巨人,小林,山口,2021/06/30,1,0,2021RS
広島,上本,巨人,炭谷,ビエイラ,2021/06/30,0,1,2021RS
中日,高松,巨人,小林,山口,2021/07/07,0,1,2021RS
中日,京田,巨人,大城,直江,2021/07/08,0,1,2021RS
阪神,糸原,巨人,大城,メルセデス,2021/07/10,1,0,2021RS
ヤクルト,山崎,巨人,大城,高梨,2021/07/14,1,0,2021RS
中日,大島,巨人,大城,メルセデス,2021/08/14,1,0,2021RS
横浜,宮本,巨人,大城,田中豊,2021/08/20,0,1,2021RS
横浜,桑原,巨人,大城,戸郷,2021/08/21,1,0,2021RS
横浜,ソト,巨人,小林,戸郷,2021/08/21,0,1,2021RS
広島,野間,巨人,小林,デラロサ,2021/08/24,1,0,2021RS
中日,渡辺,巨人,小林,山口,2021/08/27,1,0,2021RS
中日,大島,巨人,大城,高橋,2021/08/29,1,0,2021RS
中日,大島,巨人,小林,デラロサ,2021/08/29,1,0,2021RS
阪神,小幡,巨人,大城,大江,2021/09/03,1,0,2021RS
阪神,大山,巨人,---,大江,2021/09/03,1,0,2021RS
中日,大島,巨人,岸田,高橋,2021/09/10,0,1,2021RS
広島,林,巨人,小林,菅野,2021/09/12,0,1,2021RS
ヤクルト,村上,巨人,大城,田中豊,2021/09/17,0,1,2021RS
ヤクルト,山田,巨人,---,古川,2021/09/17,0,1,2021RS
広島,坂倉,巨人,小林,山口,2021/09/21,0,1,2021RS
