wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
H,横山 陸人,0.2,10,2,0,0,1,0,0,0,0,0,寺地,2025/04/18,楽天,0,2025RS
H,木村 優人,1,4,3,0,0,0,0,0,0,0,0,寺地,2025/04/18,楽天,0,2025RS
,鈴木 昭汰,1,21,5,1,1,1,1,0,0,1,1,寺地,2025/04/18,楽天,0,2025RS
S,益田 直也,1,20,4,0,0,1,1,0,0,0,0,寺地,2025/04/18,楽天,0,2025RS
L,小島 和哉,7,103,28,7,0,2,1,0,0,2,2,佐藤,2025/04/19,楽天,1,2025RS
,小野 郁,1,22,4,1,0,1,0,0,0,0,0,佐藤,2025/04/19,楽天,0,2025RS
L,西野 勇士,5,81,23,7,1,3,1,0,0,4,4,田村,2025/04/20,楽天,1,2025RS
,中森 俊介,1,17,4,1,0,1,0,0,0,0,0,田村,2025/04/20,楽天,0,2025RS
,澤村 拓一,1,20,5,1,0,1,1,0,0,0,0,田村,2025/04/20,楽天,0,2025RS
,菊地 吏玖,1,16,5,1,0,1,1,0,0,0,0,田村,2025/04/20,楽天,0,2025RS
,石川 柊太,5,90,19,2,0,5,2,1,0,1,1,佐藤,2025/04/22,西武,1,2025RS
,木村 優人,2,34,7,0,0,1,1,0,0,0,0,佐藤,2025/04/22,西武,0,2025RS
H,鈴木 昭汰,1,11,3,0,0,2,0,0,0,0,0,佐藤,2025/04/22,西武,0,2025RS
H,ゲレーロ,1,9,3,0,0,0,0,0,0,0,0,佐藤,2025/04/22,西武,0,2025RS
W,益田 直也,1,11,3,0,0,2,0,0,0,0,0,佐藤,2025/04/22,西武,0,2025RS
W,種市 篤暉,7,92,28,6,1,2,2,0,0,2,2,寺地,2025/04/23,西武,1,2025RS
H,横山 陸人,1,13,3,0,0,1,0,0,0,0,0,寺地,2025/04/23,西武,0,2025RS
S,益田 直也,1,12,3,0,0,0,0,0,0,0,0,寺地,2025/04/23,西武,0,2025RS
W,ボス,6,78,23,3,1,7,2,0,0,1,1,寺地,2025/04/25,日本ハム,1,2025RS
H,横山 陸人,1,21,4,0,0,2,1,0,0,0,0,寺地,2025/04/25,日本ハム,0,2025RS
H,ゲレーロ,1,9,3,0,0,0,0,0,0,0,0,寺地,2025/04/25,日本ハム,0,2025RS
S,鈴木 昭汰,1,13,3,0,0,2,0,0,0,0,0,寺地,2025/04/25,日本ハム,0,2025RS
L,小島 和哉,7,97,26,5,2,1,0,0,0,2,2,寺地,2025/04/26,日本ハム,1,2025RS
,小野 郁,1,21,5,1,0,1,0,0,0,0,0,寺地,2025/04/26,日本ハム,0,2025RS
W,田中 晴也,5,81,21,6,0,6,0,0,0,2,2,寺地,2025/04/27,日本ハム,1,2025RS
H,木村 優人,2,32,9,3,0,1,0,0,0,1,1,寺地,2025/04/27,日本ハム,0,2025RS
H,ゲレーロ,1,9,4,1,0,0,0,0,0,0,0,寺地,2025/04/27,日本ハム,0,2025RS
S,鈴木 昭汰,1,16,4,1,0,1,0,0,0,0,0,寺地,2025/04/27,日本ハム,0,2025RS
,西野 勇士,5,91,22,5,1,5,2,0,0,1,1,田村,2025/04/29,オリックス,1,2025RS
,中森 俊介,2,30,7,1,0,4,0,0,0,0,0,田村,2025/04/29,オリックス,0,2025RS
,ゲレーロ,1,25,5,2,0,0,0,0,0,1,1,田村,2025/04/29,オリックス,0,2025RS
L,横山 陸人,0.1,12,3,2,0,0,0,0,0,1,1,田村,2025/04/29,オリックス,0,2025RS
L,種市 篤暉,5,108,25,11,1,3,0,1,0,5,5,寺地,2025/04/30,オリックス,1,2025RS
,八木 彬,1,12,4,1,0,2,0,0,0,0,0,寺地,2025/04/30,オリックス,0,2025RS
,澤村 拓一,1,18,3,0,0,2,0,0,0,0,0,寺地,2025/04/30,オリックス,0,2025RS
,菊地 吏玖,1,12,3,0,0,0,0,0,0,0,0,植田,2025/04/30,オリックス,0,2025RS
,ボス,7,95,25,5,0,4,1,0,0,1,1,寺地,2025/05/02,ソフトバンク,1,2025RS
H,鈴木 昭汰,1,13,4,0,0,1,0,1,0,0,0,寺地,2025/05/02,ソフトバンク,0,2025RS
L,益田 直也,0.2,28,7,4,0,1,0,1,0,3,3,寺地,2025/05/02,ソフトバンク,0,2025RS
L,石川 柊太,5.2,81,25,7,1,6,1,0,0,5,5,佐藤,2025/05/03,ソフトバンク,1,2025RS
,八木 彬,1.1,11,4,0,0,1,0,0,0,0,0,佐藤,2025/05/03,ソフトバンク,0,2025RS
,澤村 拓一,1,12,3,0,0,1,0,0,0,0,0,佐藤,2025/05/03,ソフトバンク,0,2025RS
,小島 和哉,4,63,19,6,1,3,1,0,0,2,2,佐藤,2025/05/04,ソフトバンク,1,2025RS
,木村 優人,1,16,5,1,1,1,1,0,0,1,1,佐藤,2025/05/04,ソフトバンク,0,2025RS
L,小野 郁,1,14,5,2,0,2,0,0,0,1,1,佐藤,2025/05/04,ソフトバンク,0,2025RS
,菊地 吏玖,2,33,8,1,0,3,1,0,0,1,1,佐藤,2025/05/04,ソフトバンク,0,2025RS
L,田中 晴也,6,93,23,2,0,5,2,0,0,2,1,寺地,2025/05/05,楽天,1,2025RS
,八木 彬,1,17,3,0,0,1,0,0,0,0,0,寺地,2025/05/05,楽天,0,2025RS
,廣畑 敦也,1,19,5,0,0,1,2,0,0,0,0,寺地,2025/05/05,楽天,0,2025RS
,ゲレーロ,1,14,4,0,0,1,1,0,0,0,0,佐藤,2025/05/05,楽天,0,2025RS
,サモンズ,2,49,12,1,0,0,5,0,0,1,1,寺地,2025/05/07,楽天,1,2025RS
W,高野 脩汰,2.2,42,13,5,0,2,0,0,0,2,2,寺地,2025/05/07,楽天,0,2025RS
H,八木 彬,1.1,15,4,0,0,0,0,0,0,0,0,寺地,2025/05/07,楽天,0,2025RS
,ゲレーロ,1,12,4,1,0,1,0,0,0,0,0,寺地,2025/05/07,楽天,0,2025RS
,中森 俊介,1,14,3,0,0,2,0,0,0,0,0,寺地,2025/05/07,楽天,0,2025RS
,鈴木 昭汰,1,9,3,1,0,1,0,0,0,0,0,寺地,2025/05/07,楽天,0,2025RS
L,ボス,7,77,26,5,0,4,0,0,0,1,1,寺地,2025/05/09,西武,1,2025RS
,小野 郁,1,23,4,1,0,2,0,0,0,0,0,寺地,2025/05/09,西武,0,2025RS
L,西野 勇士,6,86,24,6,1,3,1,0,0,4,4,田村,2025/05/10,西武,1,2025RS
,澤村 拓一,1,31,6,1,0,0,2,0,0,1,1,佐藤,2025/05/10,西武,0,2025RS
,廣畑 敦也,1,34,7,2,0,0,2,0,0,2,2,佐藤,2025/05/10,西武,0,2025RS
L,石川 柊太,6,92,28,7,0,2,3,0,0,4,4,佐藤,2025/05/11,西武,1,2025RS
,木村 優人,0.2,36,8,4,0,0,1,0,0,5,2,佐藤,2025/05/11,西武,0,2025RS
,高野 脩汰,0.1,2,1,0,0,0,0,0,0,0,0,佐藤,2025/05/11,西武,0,2025RS
,早坂 響,1,22,6,3,0,1,0,0,0,1,1,佐藤,2025/05/11,西武,0,2025RS
,小島 和哉,7,109,29,5,1,6,3,0,0,3,3,寺地,2025/05/13,楽天,1,2025RS
H,中森 俊介,1,11,4,1,0,0,0,0,0,0,0,寺地,2025/05/13,楽天,0,2025RS
L,ゲレーロ,0.2,24,4,1,0,1,1,0,0,1,1,寺地,2025/05/13,楽天,0,2025RS
L,種市 篤暉,4,80,22,8,0,1,2,0,0,3,2,寺地,2025/05/14,楽天,1,2025RS
,廣畑 敦也,1,28,7,3,0,2,1,0,0,1,1,寺地,2025/05/14,楽天,0,2025RS
,小野 郁,1,4,3,0,0,0,0,0,0,0,0,寺地,2025/05/14,楽天,0,2025RS
,澤田 圭佑,1,14,4,1,0,1,0,0,0,0,0,寺地,2025/05/14,楽天,0,2025RS
,早坂 響,1,15,3,0,0,0,0,0,0,0,0,寺地,2025/05/14,楽天,0,2025RS
W,サモンズ,5.2,83,19,2,0,3,0,1,0,0,0,寺地,2025/05/15,楽天,1,2025RS
