position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(右),カリステ,.250,4,0,1,1,0,1,0,0,0,0,0,二飛,中安,,一飛,,中飛,,故意四,,,,,2026/03/27,広島,1,2026RS
投,メヒア,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,広島,0,2026RS
打一,石川 昂弥,-,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,四球,,,,2026/03/27,広島,0,2026RS
(二),田中 幹也,.500,4,0,2,0,1,0,1,0,0,0,0,右安,右安,,空三振,,,死球,中飛,,,,,2026/03/27,広島,1,2026RS
打,木下 拓哉,.000,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,空三振,,,,2026/03/27,広島,0,2026RS
投,アブレウ,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,広島,0,2026RS
投,藤嶋 健人,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,広島,0,2026RS
投,勝野 昌慶,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,広島,0,2026RS
(中),岡林 勇希,.500,6,1,3,0,0,0,0,0,1,0,0,右安,遊直,,左邪飛,,,右安,,中安,二ゴロ,,,2026/03/27,広島,1,2026RS
(左),細川 成也,.400,5,0,2,0,1,0,0,0,0,0,0,左安,右飛,,,投ゴロ,,見三振,,右安,,,,2026/03/27,広島,1,2026RS
走左,樋口 正修,.000,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,中飛,,,2026/03/27,広島,0,2026RS
(三),福永 裕基,.333,6,1,2,1,2,0,0,0,1,0,0,空三振,,遊ゴロ,,三ゴロ,,見三振,,右安,右安,,,2026/03/27,広島,1,2026RS
(一),サノー,.000,4,0,0,0,2,1,0,0,0,0,0,右飛,,右飛,,空三振,,空三振,,四球,,,,2026/03/27,広島,1,2026RS
走二,辻本 倫太郎,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,一ゴロ,,,2026/03/27,広島,0,2026RS
(捕),石伊 雄太,.800,5,1,4,2,0,0,0,0,0,0,0,,右２,右２,,,一ゴロ,,左安,中安,,,,2026/03/27,広島,1,2026RS
(遊),村松 開人,.500,4,1,2,1,1,0,0,1,0,0,0,,左３,空三振,,,中安,,捕犠打,投ゴロ,,,,2026/03/27,広島,1,2026RS
(投),柳 裕也,.500,2,0,1,0,1,0,0,1,0,0,0,,空三振,,左安,,投犠打,,,,,,,2026/03/27,広島,1,2026RS
投,橋本 侑樹,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,広島,0,2026RS
打,阿部 寿樹,.000,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,空三振,,,,,2026/03/27,広島,0,2026RS
右,尾田 剛樹,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,中飛,,,,2026/03/27,広島,0,2026RS
(右),カリステ,.125,4,0,0,0,1,0,0,0,0,1,0,三ゴロ,,遊ゴロ,,二ゴロ,,,空三振,,,,,2026/03/28,広島,1,2026RS
(二),田中 幹也,.375,4,0,1,1,1,0,0,0,0,0,0,中飛,,,中飛,,見三振,,左安,,,,,2026/03/28,広島,1,2026RS
(中),岡林 勇希,.500,4,0,2,0,0,0,0,0,0,0,0,中安,,,左安,,一ゴロ,,二ゴロ,,,,,2026/03/28,広島,1,2026RS
(左),細川 成也,.333,4,0,1,0,1,0,0,0,0,0,0,二ゴロ,,,二安,,空三振,,,左飛,,,,2026/03/28,広島,1,2026RS
(三),福永 裕基,.400,4,0,2,0,0,0,0,0,0,0,0,,遊ゴロ,,中安,,,一ゴロ,,左安,,,,2026/03/28,広島,1,2026RS
走,樋口 正修,.000,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,2026/03/28,広島,0,2026RS
(一),サノー,.000,4,0,0,0,2,0,0,0,0,0,0,,中飛,,中飛,,,見三振,,空三振,,,,2026/03/28,広島,1,2026RS
