o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
ロッテ,和田,西武,柘植,アブレイユ,2024-07-30,1,0,2024RS
オリックス,西川,西武,炭谷,隅田 知一郎,2024-08-07,1,0,2024RS
オリックス,来田,西武,古賀,青山 美夏人,2024-08-08,1,0,2024RS
オリックス,西野,西武,古賀,ヤン,2024-08-08,1,0,2024RS
日本ハム,奈良間,西武,柘植,アブレイユ,2024-08-12,1,0,2024RS
ソフトバンク,周東,西武,古賀,隅田 知一郎,2024-08-14,1,0,2024RS
ソフトバンク,牧原大,西武,古賀,與座 海人,2024-08-15,1,0,2024RS
ソフトバンク,周東,西武,古賀,ヤン,2024-08-15,1,0,2024RS
オリックス,若月,西武,柘植,平良 海馬,2024-08-20,0,1,2024RS
オリックス,西野,西武,古賀,渡邉 勇太朗,2024-08-22,1,0,2024RS
日本ハム,松本剛,西武,古賀,ヤン,2024-08-30,1,0,2024RS
日本ハム,田宮,西武,---,ヤン,2024-08-30,1,0,2024RS
日本ハム,スティーブンソン,西武,古賀,田村 伊知郎,2024-08-30,0,1,2024RS
日本ハム,水谷,西武,古賀,今井 達也,2024-08-31,1,0,2024RS
日本ハム,浅間,西武,炭谷,甲斐野 央,2024-09-01,1,0,2024RS
---,---,西武,古賀,---,2024-12-01,-2,0,2024RS
オリックス,太田,西武,---,隅田 知一郎,2024-09-04,0,1,2024RS
