wls,pitcher,innings,opportunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
,メルセデス,8,28,3,7,1,0,0,宇佐見,2018/07/26,ヤクルト,1,2018RS
,マシソン,1,5,2,0,0,1,1,宇佐見,2018/07/26,ヤクルト,0,2018RS
,澤　村,1,4,1,0,0,0,0,宇佐見,2018/07/26,ヤクルト,0,2018RS
L,上　原,1,4,2,0,0,1,1,小林,2018/07/26,ヤクルト,0,2018RS
W,山口俊,9,28,0,5,1,0,0,小林,2018/07/27,中日,1,2018RS
L,菅　野,8,33,7,9,2,4,4,小林,2018/07/28,中日,1,2018RS
,宮　國,1,3,0,2,0,0,0,宇佐見,2018/07/28,中日,0,2018RS
L,高　田,2,15,6,0,4,6,6,小林,2018/07/29,中日,1,2018RS
,中　川,2,11,5,2,0,3,2,小林,2018/07/29,中日,0,2018RS
,池　田,1,3,0,0,1,0,0,小林,2018/07/29,中日,0,2018RS
,アダメス,2,8,0,3,1,0,0,大城,2018/07/29,中日,0,2018RS
,田　原,2,7,1,2,0,0,0,大城,2018/07/29,中日,0,2018RS
W,内　海,9,35,6,4,3,0,0,大城,2018/07/31,横浜,1,2018RS
W,吉川光,7,28,5,4,3,1,1,小林,2018/08/01,横浜,1,2018RS
,アダメス,1,5,2,1,0,0,0,小林,2018/08/01,横浜,0,2018RS
,澤　村,1,4,0,2,1,0,0,小林,2018/08/01,横浜,0,2018RS
W,メルセデス,9,30,3,4,1,2,2,宇佐見,2018/08/02,横浜,1,2018RS
,山口俊,6,26,7,4,3,2,2,小林,2018/08/03,中日,1,2018RS
,山口俊,1,6,1,0,2,1,1,大城,2018/08/03,中日,0,2018RS
,池　田,1,3,0,0,0,0,0,大城,2018/08/03,中日,0,2018RS
L,澤　村,0,4,0,0,3,1,0,大城,2018/08/03,中日,0,2018RS
,菅　野,5,28,10,7,2,4,3,小林,2018/08/04,中日,1,2018RS
W,池　田,2,9,2,0,1,0,0,小林,2018/08/04,中日,0,2018RS
,宮　國,1,3,0,0,0,0,0,小林,2018/08/04,中日,0,2018RS
S,アダメス,1,5,2,0,1,0,0,小林,2018/08/04,中日,0,2018RS
W,今　村,9,33,6,6,0,0,0,小林,2018/08/05,中日,1,2018RS
L,内　海,4.1,22,6,5,3,6,6,大城,2018/08/07,阪神,1,2018RS
,田　原,0.2,2,0,0,0,0,0,大城,2018/08/07,阪神,0,2018RS
,野　上,1,4,1,1,0,0,0,大城,2018/08/07,阪神,0,2018RS
,池　田,1,4,1,0,1,1,1,大城,2018/08/07,阪神,0,2018RS
,澤　村,1,3,0,0,0,0,0,大城,2018/08/07,阪神,0,2018RS
,中　川,1,3,0,1,0,0,0,大城,2018/08/07,阪神,0,2018RS
W,吉川光,6,25,3,6,4,0,0,小林,2018/08/08,阪神,1,2018RS
,宮　國,1,5,1,0,0,0,0,小林,2018/08/08,阪神,0,2018RS
,澤　村,1,3,0,1,0,0,0,小林,2018/08/08,阪神,0,2018RS
S,アダメス,1,5,1,0,1,1,1,小林,2018/08/08,阪神,0,2018RS
,山口俊,7,29,7,8,3,2,2,小林,2018/08/09,阪神,1,2018RS
L,澤　村,1,4,1,2,0,1,1,小林,2018/08/09,阪神,0,2018RS
,宮　國,0.2,5,0,0,3,0,0,大城,2018/08/09,阪神,0,2018RS
,池　田,0.1,1,0,0,0,0,0,大城,2018/08/09,阪神,0,2018RS
L,メルセデス,6,28,11,1,0,5,5,宇佐見,2018/08/10,広島,1,2018RS
,野　上,1,5,2,1,0,2,2,大城,2018/08/10,広島,0,2018RS
,中　川,1,7,4,0,0,2,2,大城,2018/08/10,広島,0,2018RS
,菅　野,7,28,6,6,1,2,2,小林,2018/08/11,広島,1,2018RS
,宮　國,1,3,0,1,0,0,0,宇佐見,2018/08/11,広島,0,2018RS
,アダメス,1,3,0,0,0,0,0,宇佐見,2018/08/11,広島,0,2018RS
,野　上,1,4,1,0,0,0,0,宇佐見,2018/08/11,広島,0,2018RS
,澤　村,1,4,2,1,0,0,0,宇佐見,2018/08/11,広島,0,2018RS
,池　田,1,4,1,1,0,0,0,宇佐見,2018/08/11,広島,0,2018RS
W,今　村,7,28,5,5,3,1,1,小林,2018/08/12,広島,1,2018RS
,宮　國,0.2,6,3,1,1,3,3,小林,2018/08/12,広島,0,2018RS
,池　田,0.1,1,0,0,0,0,0,小林,2018/08/12,広島,0,2018RS
,アダメス,1,3,0,2,0,0,0,小林,2018/08/12,広島,0,2018RS
,内　海,5.2,29,11,4,0,4,4,大城,2018/08/14,ヤクルト,1,2018RS
,田　原,1.1,4,0,1,0,0,0,大城,2018/08/14,ヤクルト,0,2018RS
,澤　村,1,4,0,1,1,0,0,小林,2018/08/14,ヤクルト,0,2018RS
L,アダメス,0.1,5,3,0,1,2,2,小林,2018/08/14,ヤクルト,0,2018RS
W,吉川光,5.2,24,4,1,4,2,2,小林,2018/08/15,ヤクルト,1,2018RS
,田　原,0.1,1,0,0,0,0,0,小林,2018/08/15,ヤクルト,0,2018RS
,野　上,0.2,6,1,0,3,3,3,小林,2018/08/15,ヤクルト,0,2018RS
,池　田,0.1,3,0,1,2,0,0,小林,2018/08/15,ヤクルト,0,2018RS
,澤　村,1,5,1,0,1,0,0,小林,2018/08/15,ヤクルト,0,2018RS
,アダメス,1,4,2,1,0,0,0,小林,2018/08/15,ヤクルト,0,2018RS
L,山口俊,4,22,6,2,4,6,6,小林,2018/08/16,ヤクルト,1,2018RS
,中　川,3,14,4,2,1,1,1,大城,2018/08/16,ヤクルト,0,2018RS
,宮　國,1,3,0,1,0,0,0,大城,2018/08/16,ヤクルト,0,2018RS
L,メルセデス,7,32,9,5,5,3,2,小林,2018/08/17,中日,1,2018RS
,メルセデス,0.2,4,1,0,0,2,0,宇佐見,2018/08/17,中日,0,2018RS
,田　原,0.1,2,1,0,0,0,0,宇佐見,2018/08/17,中日,0,2018RS
,野　上,1,4,1,3,0,1,1,宇佐見,2018/08/17,中日,0,2018RS
W,菅　野,9,31,2,9,2,0,0,小林,2018/08/18,中日,1,2018RS
,今　村,7,32,13,7,1,2,2,小林,2018/08/19,中日,1,2018RS
,池　田,0.1,4,2,0,1,3,3,小林,2018/08/19,中日,0,2018RS
,田　原,0.2,4,2,0,0,0,0,小林,2018/08/19,中日,0,2018RS
W,中　川,1,3,0,1,0,0,0,小林,2018/08/19,中日,0,2018RS
W,内　海,7,29,7,6,1,1,1,大城,2018/08/21,横浜,1,2018RS
,澤　村,1,3,0,2,0,0,0,大城,2018/08/21,横浜,0,2018RS
S,アダメス,1,5,1,0,1,0,0,小林,2018/08/21,横浜,0,2018RS
L,吉川光,7,26,4,4,2,2,2,小林,2018/08/22,横浜,1,2018RS
,田　原,1,4,0,0,1,0,0,大城,2018/08/22,横浜,0,2018RS
L,山口俊,6,26,5,5,3,4,4,小林,2018/08/23,横浜,1,2018RS
,池　田,1,6,3,1,0,2,2,大城,2018/08/23,横浜,0,2018RS
,野　上,1,3,0,1,0,0,0,大城,2018/08/23,横浜,0,2018RS
W,メルセデス,9,31,2,7,2,0,0,大城,2018/08/24,阪神,1,2018RS
W,菅　野,9,34,7,12,2,0,0,小林,2018/08/25,阪神,1,2018RS
,今　村,6,28,8,2,3,3,3,小林,2018/08/26,阪神,1,2018RS
,上　原,1,4,1,0,0,0,0,小林,2018/08/26,阪神,0,2018RS
L,澤　村,0.2,8,4,1,2,6,6,小林,2018/08/26,阪神,0,2018RS
,池　田,0.1,2,1,0,0,0,0,小林,2018/08/26,阪神,0,2018RS
,アダメス,1,3,0,2,0,0,0,小林,2018/08/26,阪神,0,2018RS
L,内　海,2.2,21,10,3,3,8,8,大城,2018/08/28,広島,1,2018RS
,野　上,2.1,11,4,2,0,0,0,大城,2018/08/28,広島,0,2018RS
,中　川,2,9,3,2,0,1,0,大城,2018/08/28,広島,0,2018RS
,池　田,1,5,1,0,0,1,0,大城,2018/08/28,広島,0,2018RS
,宮　國,1,4,1,1,0,0,0,大城,2018/08/28,広島,0,2018RS
,吉川光,6,25,4,3,3,4,4,小林,2018/08/29,広島,1,2018RS
,上　原,1,4,1,1,0,0,0,小林,2018/08/29,広島,0,2018RS
,澤　村,1,4,1,0,1,0,0,小林,2018/08/29,広島,0,2018RS
L,アダメス,2,10,0,1,4,1,1,小林,2018/08/29,広島,0,2018RS
L,田　口,5,20,4,4,2,3,3,小林,2018/08/30,広島,1,2018RS
,宮　國,1,4,1,1,1,0,0,小林,2018/08/30,広島,0,2018RS
,上　原,1,3,0,0,0,0,0,小林,2018/08/30,広島,0,2018RS
,中　川,1,6,1,2,2,0,0,小林,2018/08/30,広島,0,2018RS
,池　田,1,9,4,1,1,3,2,大城,2018/08/30,広島,0,2018RS
W,メルセデス,8,30,4,4,2,2,2,大城,2018/08/31,中日,1,2018RS
S,アダメス,1,4,1,1,0,1,1,小林,2018/08/31,中日,0,2018RS
,菅　野,7,26,6,5,1,4,4,小林,2018/09/01,中日,1,2018RS
,上　原,1,4,1,0,0,0,0,大城,2018/09/01,中日,0,2018RS
,アダメス,1,5,2,0,0,1,1,大城,2018/09/01,中日,0,2018RS
,澤　村,0.2,5,1,1,2,0,0,大城,2018/09/01,中日,0,2018RS
,宮　國,0.1,1,0,0,0,0,0,大城,2018/09/01,中日,0,2018RS
,中　川,1,3,0,0,0,0,0,大城,2018/09/01,中日,0,2018RS
,野　上,1,6,1,0,2,0,0,大城,2018/09/01,中日,0,2018RS
W,今　村,7,31,10,1,3,7,7,大城,2018/09/02,中日,1,2018RS
,中　川,1,5,2,0,0,1,1,大城,2018/09/02,中日,0,2018RS
,アダメス,1,4,2,0,0,1,1,小林,2018/09/02,中日,0,2018RS
L,吉川光,5,20,5,3,1,3,3,小林,2018/09/05,横浜,1,2018RS
,内　海,2,10,3,1,1,2,2,小林,2018/09/05,横浜,0,2018RS
,澤　村,1,5,1,0,1,1,1,大城,2018/09/05,横浜,0,2018RS
,池　田,1,3,0,0,0,0,0,大城,2018/09/05,横浜,0,2018RS
W,菅　野,7,28,7,8,1,1,1,小林,2018/09/08,阪神,1,2018RS
,アダメス,1,3,0,0,0,0,0,小林,2018/09/08,阪神,0,2018RS
,山口俊,1,6,1,0,1,1,0,小林,2018/09/08,阪神,0,2018RS
L,メルセデス,7,29,7,3,2,3,1,大城,2018/09/11,ヤクルト,1,2018RS
,アダメス,1,7,3,1,1,1,1,大城,2018/09/11,ヤクルト,0,2018RS
,中　川,1,5,1,2,1,0,0,大城,2018/09/11,ヤクルト,0,2018RS
,吉川光,7,23,1,4,2,0,0,小林,2018/09/12,ヤクルト,1,2018RS
,畠,1,5,2,2,0,0,0,小林,2018/09/12,ヤクルト,0,2018RS
,山口俊,1,6,0,0,3,1,1,小林,2018/09/12,ヤクルト,0,2018RS
,中　川,1,3,0,3,0,0,0,小林,2018/09/12,ヤクルト,0,2018RS
,上　原,1,3,0,1,0,0,0,小林,2018/09/12,ヤクルト,0,2018RS
,池　田,1,3,0,0,0,0,0,小林,2018/09/12,ヤクルト,0,2018RS
L,田　口,6.1,29,9,6,1,2,2,小林,2018/09/13,ヤクルト,1,2018RS
,畠,0.2,3,1,0,0,0,0,小林,2018/09/13,ヤクルト,0,2018RS
,上　原,1,4,0,1,1,0,0,小林,2018/09/13,ヤクルト,0,2018RS
,中　川,0,2,2,0,0,2,2,宇佐見,2018/09/13,ヤクルト,0,2018RS
,アダメス,1,3,0,0,0,0,0,宇佐見,2018/09/13,ヤクルト,0,2018RS
L,内　海,5,24,8,4,0,4,4,大城,2018/09/14,横浜,1,2018RS
,野　上,1,5,2,1,0,0,0,大城,2018/09/14,横浜,0,2018RS
,アダメス,2,6,0,1,0,0,0,大城,2018/09/14,横浜,0,2018RS
L,菅　野,5,24,4,6,4,2,1,小林,2018/09/15,横浜,1,2018RS
,菅　野,2,6,0,3,0,0,0,大城,2018/09/15,横浜,0,2018RS
,畠,1,5,2,0,0,1,1,大城,2018/09/15,横浜,0,2018RS
W,今　村,5,24,9,2,1,2,2,大城,2018/09/16,中日,1,2018RS
,アダメス,1,3,0,1,0,0,0,大城,2018/09/16,中日,0,2018RS
,上　原,1,5,1,0,1,0,0,大城,2018/09/16,中日,0,2018RS
,畠,1,6,2,0,1,1,1,小林,2018/09/16,中日,0,2018RS
,山口俊,1,3,0,0,0,0,0,小林,2018/09/16,中日,0,2018RS
L,メルセデス,6,26,6,3,2,4,4,大城,2018/09/17,中日,1,2018RS
,池　田,1.1,7,3,1,0,0,0,大城,2018/09/17,中日,0,2018RS
,アダメス,0.2,2,0,0,1,0,0,大城,2018/09/17,中日,0,2018RS
,山口俊,1,3,1,0,0,0,0,大城,2018/09/17,中日,0,2018RS
L,吉川光,3.2,19,5,5,3,5,4,小林,2018/09/19,横浜,1,2018RS
,野　上,2.1,9,2,2,0,1,1,小林,2018/09/19,横浜,0,2018RS
,中　川,2,7,1,3,0,0,0,大城,2018/09/19,横浜,0,2018RS
,池　田,1,4,0,0,1,0,0,大城,2018/09/19,横浜,0,2018RS
W,菅　野,9,34,5,9,2,0,0,小林,2018/09/22,ヤクルト,1,2018RS
,今　村,4,17,2,4,3,0,0,大城,2018/09/23,阪神,1,2018RS
,中　川,1.1,5,2,0,0,0,0,大城,2018/09/23,阪神,0,2018RS
,アダメス,0.2,2,0,1,0,0,0,大城,2018/09/23,阪神,0,2018RS
,上　原,0.2,5,3,1,0,1,1,大城,2018/09/23,阪神,0,2018RS
W,畠,1.1,4,0,3,0,0,0,大城,2018/09/23,阪神,0,2018RS
S,山口俊,1,4,1,1,0,0,0,小林,2018/09/23,阪神,0,2018RS
,メルセデス,8,26,3,8,1,0,0,大城,2018/09/24,阪神,1,2018RS
,畠,1,4,1,2,0,0,0,小林,2018/09/24,阪神,0,2018RS
,山口俊,3,9,0,5,0,0,0,小林,2018/09/24,阪神,0,2018RS
W,菅　野,9,33,5,2,3,0,0,小林,2018/09/28,横浜,1,2018RS
,今　村,4,21,6,3,5,5,5,小林,2018/09/29,広島,1,2018RS
,アダメス,0.1,5,3,0,1,2,2,小林,2018/09/29,広島,0,2018RS
,中　川,0.2,2,0,0,0,0,0,小林,2018/09/29,広島,0,2018RS
,野　上,2,6,0,3,0,0,0,小林,2018/09/29,広島,0,2018RS
,畠,1,3,0,1,0,0,0,大城,2018/09/29,広島,0,2018RS
L,山口俊,1,7,2,3,2,1,1,大城,2018/09/29,広島,0,2018RS
,メルセデス,6,24,4,4,2,3,3,小林,2018/09/30,広島,1,2018RS
,畠,2,9,2,2,1,1,1,小林,2018/09/30,広島,0,2018RS
W,山口俊,1,6,1,0,2,0,0,小林,2018/09/30,広島,0,2018RS
L,吉川光,4,19,8,4,0,4,4,小林,2018/10/01,ヤクルト,1,2018RS
,アダメス,1,6,2,1,1,3,3,小林,2018/10/01,ヤクルト,0,2018RS
,中　川,1,3,0,1,0,0,0,小林,2018/10/01,ヤクルト,0,2018RS
,谷　岡,1,4,1,2,0,0,0,大城,2018/10/01,ヤクルト,0,2018RS
,野　上,0.2,3,1,0,0,1,1,大城,2018/10/01,ヤクルト,0,2018RS
,池　田,0.1,3,2,0,0,0,0,大城,2018/10/01,ヤクルト,0,2018RS
W,菅　野,9,31,4,11,0,0,0,小林,2018/10/04,広島,1,2018RS
,メルセデス,5.1,22,5,1,0,4,2,小林,2018/10/09,阪神,1,2018RS
W,畠,0.2,2,0,0,0,0,0,小林,2018/10/09,阪神,0,2018RS
,山口俊,2,8,3,3,0,0,0,小林,2018/10/09,阪神,0,2018RS
,菅　野,1,3,0,0,0,0,0,小林,2018/10/09,阪神,0,2018RS
,今　村,4.2,19,3,4,3,1,1,小林,2018/10/13,ヤクルト,1,2018CS
W,上　原,1.1,4,0,3,0,0,0,小林,2018/10/13,ヤクルト,0,2018CS
,畠,1,4,1,1,0,0,0,小林,2018/10/13,ヤクルト,0,2018CS
S,山口俊,2,6,0,2,0,0,0,小林,2018/10/13,ヤクルト,0,2018CS
W,菅　野,9,28,0,7,1,0,0,小林,2018/10/14,ヤクルト,1,2018CS
L,メルセデス,3.1,16,5,2,3,4,4,小林,2018/10/17,広島,1,2018CS
,吉川光,1.2,6,0,1,1,0,0,小林,2018/10/17,広島,0,2018CS
,中　川,1,6,1,0,2,0,0,小林,2018/10/17,広島,0,2018CS
,上　原,1,4,1,0,0,1,1,大城,2018/10/17,広島,0,2018CS
,澤　村,1,5,2,3,0,1,1,大城,2018/10/17,広島,0,2018CS
,田　口,6,20,1,6,1,0,0,小林,2018/10/18,広島,1,2018CS
L,畠,1.2,9,2,2,2,4,4,小林,2018/10/18,広島,0,2018CS
,吉川光,0.1,1,0,1,0,0,0,小林,2018/10/18,広島,0,2018CS
L,今　村,2.2,13,3,1,2,3,3,小林,2018/10/19,広島,1,2018CS
,野　上,1.1,5,0,2,0,0,0,小林,2018/10/19,広島,0,2018CS
,中　川,0.1,3,1,0,1,2,0,小林,2018/10/19,広島,0,2018CS
,澤　村,1.2,7,1,3,1,0,0,小林,2018/10/19,広島,0,2018CS
,吉川光,2,6,0,3,0,0,0,小林,2018/10/19,広島,0,2018CS
