wls,pitcher,innings,opportunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
W,田　原,1,4,2,0,0,0,0,小林,2018/04/29,ヤクルト,0,2018RS
,澤　村,1,4,0,0,1,0,0,小林,2018/04/29,ヤクルト,0,2018RS
,カミネロ,1,6,1,0,2,1,1,小林,2018/04/29,ヤクルト,0,2018RS
W,野　上,7,26,6,4,1,1,1,小林,2018/04/30,ヤクルト,1,2018RS
,上　原,1,3,0,1,0,0,0,小林,2018/04/30,ヤクルト,0,2018RS
,篠　原,1,3,1,0,0,0,0,大城,2018/04/30,ヤクルト,0,2018RS
L,山口俊,4.2,29,9,2,8,6,5,小林,2018/05/01,広島,1,2018RS
,宮　國,1.1,5,0,1,1,0,0,小林,2018/05/01,広島,0,2018RS
,田　原,2,7,2,0,1,0,0,小林,2018/05/01,広島,0,2018RS
,吉川光,5,18,3,3,1,1,1,小林,2018/05/03,広島,1,2018RS
,澤　村,2,9,3,1,0,1,1,小林,2018/05/03,広島,0,2018RS
L,マシソン,1,6,2,1,1,1,0,小林,2018/05/03,広島,0,2018RS
,菅　野,8,28,2,8,1,0,0,小林,2018/05/04,横浜,1,2018RS
,カミネロ,1,5,2,0,0,0,0,小林,2018/05/04,横浜,0,2018RS
,マシソン,1,3,0,0,0,0,0,小林,2018/05/04,横浜,0,2018RS
,澤　村,1,3,0,1,0,0,0,小林,2018/05/04,横浜,0,2018RS
,宮　國,1,5,3,0,0,0,0,小林,2018/05/04,横浜,0,2018RS
W,田　口,7,28,6,3,1,2,2,大城,2018/05/05,横浜,1,2018RS
,田　原,1,4,1,0,0,0,0,小林,2018/05/05,横浜,0,2018RS
,上　原,1,4,1,0,0,1,1,小林,2018/05/05,横浜,0,2018RS
L,野　上,2,13,7,2,0,7,7,小林,2018/05/06,横浜,1,2018RS
,篠　原,2,13,7,0,0,3,3,小林,2018/05/06,横浜,0,2018RS
,中　川,2,9,2,1,1,2,2,大城,2018/05/06,横浜,0,2018RS
,田　原,1,3,0,1,0,0,0,大城,2018/05/06,横浜,0,2018RS
,宮　國,1,5,2,1,0,0,0,大城,2018/05/06,横浜,0,2018RS
L,山口俊,5,26,5,4,5,7,6,小林,2018/05/08,阪神,1,2018RS
,中　川,3,9,0,2,0,0,0,大城,2018/05/08,阪神,0,2018RS
,篠　原,1,5,2,1,0,2,2,大城,2018/05/08,阪神,0,2018RS
W,吉川光,5,21,3,5,3,1,1,小林,2018/05/09,阪神,1,2018RS
,澤　村,2,7,2,2,0,0,0,小林,2018/05/09,阪神,0,2018RS
,マシソン,1,4,0,1,1,0,0,小林,2018/05/09,阪神,0,2018RS
S,カミネロ,1,4,0,1,1,0,0,小林,2018/05/09,阪神,0,2018RS
W,内　海,5.1,21,4,6,1,2,2,小林,2018/05/10,阪神,1,2018RS
,宮　國,0.2,3,1,1,0,0,0,小林,2018/05/10,阪神,0,2018RS
,上　原,1,3,0,1,0,0,0,小林,2018/05/10,阪神,0,2018RS
,澤　村,1,4,1,1,0,0,0,小林,2018/05/10,阪神,0,2018RS
S,カミネロ,1,4,1,1,0,0,0,小林,2018/05/10,阪神,0,2018RS
W,菅　野,9,32,5,13,1,0,0,小林,2018/05/11,中日,1,2018RS
L,田　口,7,31,6,5,3,5,2,大城,2018/05/12,中日,1,2018RS
,田　原,1,5,2,2,0,1,1,大城,2018/05/12,中日,0,2018RS
,中　川,1,3,0,0,0,0,0,大城,2018/05/12,中日,0,2018RS
W,野　上,6,23,5,4,2,1,1,小林,2018/05/13,中日,1,2018RS
,宮　國,1,3,0,1,0,0,0,小林,2018/05/13,中日,0,2018RS
,中　川,1,3,1,1,0,0,0,小林,2018/05/13,中日,0,2018RS
,カミネロ,1,9,6,1,0,4,4,小林,2018/05/13,中日,0,2018RS
L,山口俊,8,33,9,5,2,2,2,小林,2018/05/14,ヤクルト,1,2018RS
W,吉川光,6,25,6,5,2,1,1,小林,2018/05/16,ヤクルト,1,2018RS
,宮　國,1,3,0,1,0,0,0,小林,2018/05/16,ヤクルト,0,2018RS
,田　原,1,6,3,0,0,0,0,小林,2018/05/16,ヤクルト,0,2018RS
,中　川,1,7,3,0,1,3,3,小林,2018/05/16,ヤクルト,0,2018RS
