o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
日本ハム,マルティネス,ロッテ,田村,坂本 光士郎,2024-07-21,1,0,2024RS
日本ハム,浅間,ロッテ,田村,石川 歩,2024-07-21,0,1,2024RS
楽天,小深田,ロッテ,田村,西野 勇士,2024-07-26,1,0,2024RS
西武,奥村,ロッテ,佐藤,小島 和哉,2024-07-30,0,1,2024RS
西武,外崎,ロッテ,佐藤,佐々木 朗希,2024-08-01,1,0,2024RS
西武,山野辺,ロッテ,佐藤,鈴木 昭汰,2024-08-01,1,0,2024RS
ソフトバンク,牧原大,ロッテ,田村,吉田 凌,2024-08-06,1,0,2024RS
ソフトバンク,牧原大,ロッテ,---,小島 和哉,2024-08-06,0,1,2024RS
ソフトバンク,近藤,ロッテ,佐藤,佐々木 朗希,2024-08-08,1,0,2024RS
オリックス,来田,ロッテ,田村,西野 勇士,2024-08-12,1,0,2024RS
日本ハム,水野,ロッテ,佐藤,中村 稔弥,2024-08-14,1,0,2024RS
日本ハム,水野,ロッテ,佐藤,中村 稔弥,2024-08-15,1,0,2024RS
ソフトバンク,周東,ロッテ,田村,唐川 侑己,2024-08-16,1,0,2024RS
ソフトバンク,周東,ロッテ,佐藤,種市 篤暉,2024-08-18,1,0,2024RS
日本ハム,水谷,ロッテ,松川,佐々木 朗希,2024-08-22,1,0,2024RS
オリックス,渡部,ロッテ,田村,カイケル,2024-08-23,0,1,2024RS
オリックス,西野,ロッテ,田村,カイケル,2024-08-23,0,1,2024RS
オリックス,西川,ロッテ,佐藤,種市 篤暉,2024-08-25,1,0,2024RS
西武,奥村,ロッテ,佐藤,小島 和哉,2024-08-27,0,1,2024RS
西武,源田,ロッテ,田村,カイケル,2024-08-29,0,1,2024RS
ソフトバンク,佐藤直,ロッテ,佐藤,メルセデス,2024-08-31,1,0,2024RS
---,---,ロッテ,佐藤,---,2024-12-01,-10,0,2024RS
楽天,辰巳,ロッテ,田村,鈴木 昭汰,2024-09-05,1,0,2024RS
楽天,武藤,ロッテ,田村,鈴木 昭汰,2024-09-05,0,1,2024RS
楽天,小郷,ロッテ,佐藤,佐々木 朗希,2024-09-08,2,0,2024RS
楽天,辰巳,ロッテ,佐藤,佐々木 朗希,2024-09-08,1,0,2024RS
楽天,小深田,ロッテ,佐藤,横山 陸人,2024-09-08,1,0,2024RS
