o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
日本ハム,松本剛,楽天,石原,岸 孝之,2024-08-07,1,0,2024RS
ソフトバンク,野村,楽天,石原,高田 孝一,2024-08-11,1,0,2024RS
オリックス,来田,楽天,太田,早川 隆久,2024-08-13,0,1,2024RS
オリックス,来田,楽天,石原,岸 孝之,2024-08-15,1,0,2024RS
オリックス,大里,楽天,石原,岸 孝之,2024-08-15,1,0,2024RS
ソフトバンク,近藤,楽天,石原,内 星龍,2024-08-21,1,0,2024RS
西武,佐藤龍,楽天,安田,古謝 樹,2024-08-25,0,1,2024RS
日本ハム,浅間,楽天,石原,内 星龍,2024-08-28,1,0,2024RS
オリックス,福田,楽天,石原,酒居 知史,2024-08-30,0,1,2024RS
オリックス,西川,楽天,石原,岸 孝之,2024-08-31,1,0,2024RS
オリックス,太田,楽天,石原,岸 孝之,2024-08-31,1,0,2024RS
---,---,楽天,太田,---,2024-12-01,0,-3,2024RS
オリックス,山足,楽天,安田,宮森 智志,2024-09-01,1,0,2024RS
ロッテ,友杉,楽天,太田,藤井 聖,2024-09-05,1,0,2024RS
ロッテ,小川,楽天,石原,岸 孝之,2024-09-07,1,0,2024RS
日本ハム,田宮,楽天,石原,岸 孝之,2024-09-16,1,0,2024RS
