catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
大城,メンデス,2023-04-05,1,0,2023RS
大城,高梨,2023-04-11,0,1,2023RS
大城,田中,2023-04-12,0,1,2023RS
大城,横川,2023-04-13,1,0,2023RS
大城,グリフィン,2023-04-15,1,0,2023RS
大城,大江,2023-04-29,1,0,2023RS
大城,山崎,2023-05-11,1,0,2023RS
大城,直江,2023-05-12,1,0,2023RS
大城,戸郷,2023-05-24,1,0,2023RS
大城,鈴木,2023-05-25,1,0,2023RS
大城,高橋,2023-05-30,1,0,2023RS
大城,戸郷,2023-05-31,1,0,2023RS
大城,大勢,2023-06-01,1,0,2023RS
岸田,横川,2023-06-16,1,0,2023RS
大城,メンデス,2023-06-24,0,1,2023RS
大城,田中千,2023-07-05,1,0,2023RS
大城,船迫,2023-07-16,1,0,2023RS
大城,メンデス,2023-07-23,0,1,2023RS
大城,山崎,2023-07-29,1,0,2023RS
岸田,ロペス,2023-08-05,2,0,2023RS
岸田,船迫,2023-08-18,1,0,2023RS
岸田,鈴木,2023-08-20,1,0,2023RS
大城,鈴木,2023-08-22,1,0,2023RS
大城,鈴木,2023-08-26,1,0,2023RS
岸田,メンデス,2023-08-27,0,1,2023RS
岸田,鈴木,2023-09-01,1,0,2023RS
大城,船迫,2023-09-02,0,1,2023RS
