wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,ビーディ,6,98,27,10,0,5,0,0,0,2,2,大城,2023/03/31,中日,1,2023RS
,大江 竜聖,1,9,3,0,0,0,0,0,0,0,0,大城,2023/03/31,中日,0,2023RS
,船迫 大雅,1,13,3,0,0,3,0,0,0,0,0,大城,2023/03/31,中日,0,2023RS
L,ロペス,0.1,12,3,1,0,0,0,0,0,2,1,大城,2023/03/31,中日,0,2023RS
,高梨 雄平,0.0,6,3,1,0,0,1,0,0,2,2,大城,2023/03/31,中日,0,2023RS
,直江 大輔,0.2,5,2,0,0,0,0,0,0,0,0,大城,2023/03/31,中日,0,2023RS
W,グリフィン,7,95,24,3,0,7,1,0,0,0,0,大城,2023/04/01,中日,1,2023RS
H,田中 豊樹,1,18,4,1,0,1,0,0,0,0,0,大城,2023/04/01,中日,0,2023RS
S,鍵谷 陽平,1,10,4,1,0,1,0,0,0,0,0,大城,2023/04/01,中日,0,2023RS
,赤星 優志,7,84,28,5,0,5,2,0,0,1,1,大城,2023/04/02,中日,1,2023RS
,田中 豊樹,0.2,13,3,1,0,1,0,0,0,1,1,大城,2023/04/02,中日,0,2023RS
,高梨 雄平,0.0,4,1,1,0,0,0,0,0,0,0,大城,2023/04/02,中日,0,2023RS
W,鍵谷 陽平,0.1,3,2,1,0,0,0,0,0,0,0,大城,2023/04/02,中日,0,2023RS
S,大勢,1,12,3,0,0,1,0,0,0,0,0,大城,2023/04/02,中日,0,2023RS
W,戸郷 翔征,6,100,24,5,0,5,2,0,0,0,0,大城,2023/04/04,DeNA,1,2023RS
,大江 竜聖,0.2,8,2,0,0,1,0,0,0,0,0,大城,2023/04/04,DeNA,0,2023RS
,船迫 大雅,0.1,4,1,0,0,1,0,0,0,0,0,大城,2023/04/04,DeNA,0,2023RS
,ロペス,1,19,5,1,0,0,1,0,0,0,0,小林,2023/04/04,DeNA,0,2023RS
,代木 大和,1,15,4,0,0,0,1,0,0,0,0,小林,2023/04/04,DeNA,0,2023RS
L,メンデス,5.1,94,25,5,1,4,3,1,1,2,2,大城,2023/04/05,DeNA,1,2023RS
,直江 大輔,0.2,5,1,0,0,0,0,0,0,0,0,大城,2023/04/05,DeNA,0,2023RS
,鍵谷 陽平,1,26,5,0,0,1,2,0,0,0,0,大城,2023/04/05,DeNA,0,2023RS
,ロペス,0.2,20,5,0,0,0,3,0,0,0,0,大城,2023/04/05,DeNA,0,2023RS
,代木 大和,0.1,1,1,0,0,0,0,0,0,0,0,大城,2023/04/05,DeNA,0,2023RS
L,横川 凱,6,81,22,5,0,2,1,0,0,1,1,大城,2023/04/06,DeNA,1,2023RS
,船迫 大雅,1,17,6,2,1,1,1,0,0,3,3,大城,2023/04/06,DeNA,0,2023RS
,直江 大輔,1,9,3,0,0,0,0,0,0,0,0,大城,2023/04/06,DeNA,0,2023RS
L,ビーディ,5,101,24,5,0,3,3,0,0,3,2,大城,2023/04/07,広島,1,2023RS
,大江 竜聖,0.2,7,3,1,1,0,0,0,0,1,1,小林,2023/04/07,広島,0,2023RS
,船迫 大雅,0.1,5,2,1,0,0,0,0,0,0,0,小林,2023/04/07,広島,0,2023RS
,高梨 雄平,1,11,3,0,0,2,0,0,0,0,0,小林,2023/04/07,広島,0,2023RS
,代木 大和,1,9,4,2,0,1,0,0,0,0,0,小林,2023/04/07,広島,0,2023RS
L,グリフィン,4.1,75,21,7,1,5,1,0,0,6,5,大城,2023/04/08,広島,1,2023RS
,直江 大輔,1.2,22,5,0,0,2,0,0,0,0,0,大城,2023/04/08,広島,0,2023RS
,代木 大和,2,26,6,1,0,1,0,0,0,0,0,岸田,2023/04/08,広島,0,2023RS
L,赤星 優志,4,64,19,6,2,3,1,0,0,4,4,大城,2023/04/09,広島,1,2023RS
,大江 竜聖,2,30,7,0,0,2,0,0,0,0,0,大城,2023/04/09,広島,0,2023RS
,鍵谷 陽平,1,11,3,0,0,0,0,0,0,0,0,大城,2023/04/09,広島,0,2023RS
,高梨 雄平,0.2,10,3,1,0,2,0,0,0,0,0,大城,2023/04/09,広島,0,2023RS
,田中 豊樹,0.1,5,1,0,0,1,0,0,0,0,0,大城,2023/04/09,広島,0,2023RS
W,戸郷 翔征,7,87,25,3,0,5,0,0,0,0,0,大城,2023/04/11,阪神,1,2023RS
,高梨 雄平,0.1,21,4,2,0,1,0,0,0,1,0,大城,2023/04/11,阪神,0,2023RS
H,田中 豊樹,0.2,5,2,0,0,0,0,0,0,0,0,大城,2023/04/11,阪神,0,2023RS
,鍬原 拓也,1,8,3,0,0,0,0,0,0,0,0,大城,2023/04/11,阪神,0,2023RS
,メンデス,6.0,91,22,3,1,1,1,0,0,1,1,大城,2023/04/12,阪神,1,2023RS
,鍵谷 陽平,1,15,3,0,0,1,0,0,0,0,0,大城,2023/04/12,阪神,0,2023RS
,大江 竜聖,1,12,3,0,0,1,0,0,0,0,0,大城,2023/04/12,阪神,0,2023RS
H,大勢,1,35,6,0,0,3,2,0,0,0,0,大城,2023/04/12,阪神,0,2023RS
L,田中 豊樹,0.1,10,2,0,0,0,1,0,0,1,0,大城,2023/04/12,阪神,0,2023RS
,高梨 雄平,0.2,28,4,1,0,2,1,0,1,0,0,大城,2023/04/12,阪神,0,2023RS
L,横川 凱,5,78,21,6,2,2,1,0,0,4,4,大城,2023/04/13,阪神,1,2023RS
,直江 大輔,2,34,7,0,0,2,1,0,0,0,0,大城,2023/04/13,阪神,0,2023RS
,田中 千晴,1,18,6,1,0,0,2,0,0,0,0,大城,2023/04/13,阪神,0,2023RS
,代木 大和,1,14,3,0,0,2,0,0,0,0,0,小林,2023/04/13,阪神,0,2023RS
L,ビーディ,5,79,24,8,0,5,1,0,0,4,4,小林,2023/04/14,中日,1,2023RS
,鍬原 拓也,1,14,4,0,0,1,1,0,0,0,0,小林,2023/04/14,中日,0,2023RS
,鍵谷 陽平,0.2,25,7,4,0,2,1,0,0,3,3,小林,2023/04/14,中日,0,2023RS
,代木 大和,0.1,8,4,3,0,0,0,0,0,2,2,小林,2023/04/14,中日,0,2023RS
,田中 豊樹,1,7,2,0,0,1,0,0,0,0,0,小林,2023/04/14,中日,0,2023RS
W,グリフィン,5.1,101,23,4,0,8,2,1,1,2,2,大城,2023/04/15,中日,1,2023RS
H,鍬原 拓也,1.1,18,5,1,0,3,0,0,0,0,0,大城,2023/04/15,中日,0,2023RS
H,大江 竜聖,0.1,3,1,0,0,1,0,0,0,0,0,大城,2023/04/15,中日,0,2023RS
H,直江 大輔,1,17,4,0,0,1,1,0,0,0,0,大城,2023/04/15,中日,0,2023RS
,大勢,1,21,3,0,0,2,0,0,0,0,0,大城,2023/04/15,中日,0,2023RS
L,赤星 優志,2,52,13,7,0,1,1,0,0,5,5,大城,2023/04/16,中日,1,2023RS
,代木 大和,2.2,59,12,4,0,1,0,1,0,2,2,大城,2023/04/16,中日,0,2023RS
,鍵谷 陽平,0.1,6,1,0,0,0,0,0,0,0,0,大城,2023/04/16,中日,0,2023RS
,田中 千晴,2,45,11,4,0,2,1,0,0,0,0,大城,2023/04/16,中日,0,2023RS
,田中 豊樹,1,14,3,0,0,1,0,0,0,0,0,大城,2023/04/16,中日,0,2023RS
L,戸郷 翔征,6,85,24,5,0,1,1,0,0,1,1,大城,2023/04/18,DeNA,1,2023RS
,戸郷 翔征,1.1,27,6,2,0,0,0,0,0,1,1,小林,2023/04/18,DeNA,0,2023RS
,田中 豊樹,0.2,5,2,0,0,0,0,0,0,0,0,小林,2023/04/18,DeNA,0,2023RS
,今村 信貴,1,22,4,0,0,0,1,0,0,0,0,小林,2023/04/18,DeNA,0,2023RS
W,山崎 伊織,7,102,25,4,0,5,1,0,0,1,1,大城,2023/04/19,DeNA,1,2023RS
H,田中 千晴,1,12,3,0,0,0,0,0,0,0,0,大城,2023/04/19,DeNA,0,2023RS
,大勢,1,14,3,0,0,0,1,0,0,0,0,大城,2023/04/19,DeNA,0,2023RS
L,ビーディ,5,76,21,3,0,6,3,0,0,2,2,大城,2023/04/21,ヤクルト,1,2023RS
,代木 大和,1,20,5,1,0,1,1,0,0,0,0,大城,2023/04/21,ヤクルト,0,2023RS
,鍬原 拓也,1,23,6,1,0,0,1,1,0,1,1,大城,2023/04/21,ヤクルト,0,2023RS
,今村 信貴,1,12,3,0,0,0,0,0,0,0,0,山瀬,2023/04/21,ヤクルト,0,2023RS
W,グリフィン,6,109,23,4,0,3,1,0,0,1,1,大城,2023/04/22,ヤクルト,1,2023RS
H,直江 大輔,1,22,6,1,0,0,1,0,0,1,0,大城,2023/04/22,ヤクルト,0,2023RS
H,田中 千晴,1,12,3,0,0,2,0,0,0,0,0,大城,2023/04/22,ヤクルト,0,2023RS
S,大勢,1,13,4,1,0,1,0,0,0,0,0,大城,2023/04/22,ヤクルト,0,2023RS
W,横川 凱,5,59,18,5,1,2,0,0,0,2,2,大城,2023/04/23,ヤクルト,1,2023RS
,田中 豊樹,1,11,4,1,0,1,0,0,0,0,0,大城,2023/04/23,ヤクルト,0,2023RS
,直江 大輔,1,34,7,2,1,2,1,0,0,1,1,大城,2023/04/23,ヤクルト,0,2023RS
,田中 千晴,1,14,4,0,0,1,1,0,0,0,0,大城,2023/04/23,ヤクルト,0,2023RS
,大勢,1,13,4,1,0,1,0,0,0,0,0,大城,2023/04/23,ヤクルト,0,2023RS
W,戸郷 翔征,6.1,102,27,6,1,7,4,0,0,4,4,大城,2023/04/26,阪神,1,2023RS
H,大江 竜聖,0.2,10,3,0,0,1,0,1,0,0,0,大城,2023/04/26,阪神,0,2023RS
,田中 千晴,1,10,3,0,0,1,0,0,0,0,0,大城,2023/04/26,阪神,0,2023RS
,直江 大輔,1,23,3,0,0,2,0,0,0,0,0,大城,2023/04/26,阪神,0,2023RS
L,山崎 伊織,2.1,53,16,8,1,1,0,2,0,8,8,大城,2023/04/27,阪神,1,2023RS
,代木 大和,0.2,14,4,2,0,1,0,0,0,0,0,大城,2023/04/27,阪神,0,2023RS
,代木 大和,2,47,9,1,0,4,1,1,0,0,0,山瀬,2023/04/27,阪神,0,2023RS
,鍵谷 陽平,2,35,9,2,1,4,1,0,0,1,1,山瀬,2023/04/27,阪神,0,2023RS
,今村 信貴,0.2,31,8,5,0,1,1,0,0,6,6,山瀬,2023/04/27,阪神,0,2023RS
,田中 豊樹,0.1,8,2,1,0,1,0,0,0,0,0,山瀬,2023/04/27,阪神,0,2023RS
,高橋 優貴,3,54,15,5,1,0,2,0,0,2,2,大城,2023/04/28,広島,1,2023RS
W,横川 凱,3,43,10,2,0,1,0,0,0,0,0,大城,2023/04/28,広島,0,2023RS
H,直江 大輔,1,22,4,0,0,2,1,0,0,0,0,大城,2023/04/28,広島,0,2023RS
H,田中 千晴,1,14,4,1,0,1,0,0,0,0,0,大城,2023/04/28,広島,0,2023RS
S,大勢,1,27,7,4,0,2,0,0,0,2,2,大城,2023/04/28,広島,0,2023RS
,グリフィン,4.1,83,23,8,0,2,1,2,0,2,2,大城,2023/04/29,広島,1,2023RS
,鍵谷 陽平,1.2,28,6,0,0,2,1,0,0,0,0,大城,2023/04/29,広島,0,2023RS
,高梨 雄平,1,20,5,2,0,1,1,0,0,1,1,大城,2023/04/29,広島,0,2023RS
,田中 豊樹,1,11,3,1,0,0,0,0,0,0,0,大城,2023/04/29,広島,0,2023RS
W,大江 竜聖,1,20,4,1,0,1,0,0,0,0,0,大城,2023/04/29,広島,0,2023RS
L,ビーディ,3.2,64,19,8,2,2,1,0,0,5,5,大城,2023/04/30,広島,1,2023RS
,代木 大和,1.2,25,8,2,0,0,1,0,0,2,2,大城,2023/04/30,広島,0,2023RS
,田中 豊樹,0.2,24,5,2,1,1,1,0,0,3,3,大城,2023/04/30,広島,0,2023RS
,高梨 雄平,2,35,7,1,0,2,0,0,0,0,0,大城,2023/04/30,広島,0,2023RS
,高梨 雄平,1,20,4,1,1,2,0,0,0,1,1,小林,2023/04/30,広島,0,2023RS
,戸郷 翔征,5.2,97,25,8,2,4,2,0,0,4,4,大城,2023/05/02,ヤクルト,1,2023RS
,鍵谷 陽平,0.1,7,2,1,0,0,0,0,0,0,0,大城,2023/05/02,ヤクルト,0,2023RS
H,直江 大輔,1,13,3,1,0,0,0,0,0,0,0,大城,2023/05/02,ヤクルト,0,2023RS
L,田中 千晴,1,19,5,2,1,1,0,0,0,2,2,大城,2023/05/02,ヤクルト,0,2023RS
,菊地 大稀,1,14,4,1,0,1,0,0,0,1,1,小林,2023/05/02,ヤクルト,0,2023RS
,高橋 優貴,1.2,41,11,5,0,1,1,0,0,3,3,大城,2023/05/03,ヤクルト,1,2023RS
,堀岡 隼人,1.1,37,9,3,0,1,2,0,0,2,2,大城,2023/05/03,ヤクルト,0,2023RS
,代木 大和,2,33,8,3,1,2,1,0,0,1,1,大城,2023/05/03,ヤクルト,0,2023RS
,高梨 雄平,1.1,34,8,2,0,1,1,1,0,0,0,大城,2023/05/03,ヤクルト,0,2023RS
,菊地 大稀,0.2,7,2,0,0,0,0,0,0,0,0,大城,2023/05/03,ヤクルト,0,2023RS
W,大江 竜聖,1,24,6,2,0,0,2,0,0,1,1,大城,2023/05/03,ヤクルト,0,2023RS
S,大勢,1,17,4,1,0,3,0,0,0,0,0,小林,2023/05/03,ヤクルト,0,2023RS
,山崎 伊織,6,95,26,7,1,3,1,0,0,2,2,小林,2023/05/04,ヤクルト,1,2023RS
,直江 大輔,0.1,15,4,3,1,0,0,0,0,3,3,小林,2023/05/04,ヤクルト,0,2023RS
