position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(中),周東 佑京,.400,5,0,2,0,1,0,0,0,0,1,0,右２,,一ゴロ,左安,,,空三振,,右飛,,,,2025/03/28,ロッテ,1,2025RS
(右),近藤 健介,.000,4,0,0,0,1,1,0,0,0,0,0,見三振,,四球,,中飛,,中飛,,中飛,,,,2025/03/28,ロッテ,1,2025RS
(指),柳田 悠岐,.250,4,0,1,0,0,0,0,0,0,0,0,遊ゴロ,,一ゴロ,,中安,,,一ゴロ,,,,,2025/03/28,ロッテ,1,2025RS
(一),山川 穂高,.250,4,1,1,1,1,0,0,0,0,0,0,右飛,,中２,,空三振,,,遊失,,,,,2025/03/28,ロッテ,1,2025RS
(左),正木 智也,.250,4,0,1,0,1,0,0,0,0,0,0,,二飛,空三振,,遊ゴロ,,,右安,,,,,2025/03/28,ロッテ,1,2025RS
(遊),今宮 健太,.333,3,0,1,1,0,0,0,0,0,0,0,,右２,,三ゴロ,,二ゴロ,,右犠飛,,,,,2025/03/28,ロッテ,1,2025RS
遊,川瀬 晃,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,ロッテ,0,2025RS
(二),ダウンズ,.000,3,0,0,0,2,1,0,0,1,0,0,,左飛,,四球,,見三振,,見三振,,,,,2025/03/28,ロッテ,1,2025RS
捕,渡邉 陸,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,ロッテ,0,2025RS
(三),リチャード,.000,4,0,0,0,2,0,0,0,0,0,0,,見三振,,空三振,,遊飛,,,左飛,,,,2025/03/28,ロッテ,1,2025RS
(捕),谷川原 健太,.000,1,1,0,0,0,2,0,0,0,0,0,,,四球,四球,,,左飛,,,,,,2025/03/28,ロッテ,1,2025RS
二,牧原 大成,1.000,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,左安,,,,2025/03/28,ロッテ,0,2025RS
(中),周東 佑京,.300,5,0,1,0,4,0,0,0,0,0,0,二安,,見三振,,空三振,,空三振,,,空三振,,,2025/03/29,ロッテ,1,2025RS
(右),近藤 健介,.375,4,1,3,1,0,0,0,0,0,0,0,右安,,左犠飛,,中安,,,中安,,中飛,,,2025/03/29,ロッテ,1,2025RS
(指),柳田 悠岐,.250,4,1,1,3,0,0,0,0,0,0,1,二ゴロ,,二ゴロ,,右中本,,,二併打,,,,,2025/03/29,ロッテ,1,2025RS
(一),山川 穂高,.125,4,0,0,0,3,0,0,0,0,0,0,右飛,,,空三振,空三振,,,空三振,,,,,2025/03/29,ロッテ,1,2025RS
(左),正木 智也,.250,4,0,1,0,2,0,0,0,0,0,0,,遊ゴロ,,右安,,空三振,,,見三振,,,,2025/03/29,ロッテ,1,2025RS
(遊),今宮 健太,.286,4,0,1,0,2,0,0,0,0,0,0,,右安,,遊ゴロ,,空三振,,,見三振,,,,2025/03/29,ロッテ,1,2025RS
(二),ダウンズ,.000,3,0,0,0,0,1,0,0,1,0,0,,中飛,,二飛,,左飛,,,四球,,,,2025/03/29,ロッテ,1,2025RS
(三),リチャード,.000,4,0,0,0,2,0,0,0,0,0,0,,空三振,,,三ゴロ,,三ゴロ,,空三振,,,,2025/03/29,ロッテ,1,2025RS
(捕),海野 隆司,.667,3,2,2,0,0,0,0,0,0,0,0,,,右３,,右安,,左飛,,,,,,2025/03/29,ロッテ,1,2025RS
打,中村 晃,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,遊ゴロ,,,2025/03/29,ロッテ,0,2025RS
(中),周東 佑京,.333,5,0,2,0,1,0,0,0,1,0,0,遊ゴロ,,右安,遊飛,,左安,,,見三振,,,,2025/03/30,ロッテ,1,2025RS
(指),近藤 健介,.333,4,1,1,0,1,1,0,0,0,0,0,見三振,,二ゴロ,三ゴロ,,四球,,,中安,,,,2025/03/30,ロッテ,1,2025RS
走指,渡邉 陸,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,ロッテ,0,2025RS
(左),柳田 悠岐,.308,5,1,2,0,1,0,0,0,0,0,0,見三振,,左安,,右安,遊ゴロ,,,遊飛,,,,2025/03/30,ロッテ,1,2025RS
(一),山川 穂高,.077,5,1,0,0,2,0,0,0,0,0,0,,三失,三ゴロ,,空三振,,空三振,,中飛,,,,2025/03/30,ロッテ,1,2025RS
(右),正木 智也,.364,3,1,2,3,0,0,0,0,0,0,1,,左本,中犠飛,,右安,,三ゴロ,,,,,,2025/03/30,ロッテ,1,2025RS
(遊),今宮 健太,.200,3,0,0,0,0,1,0,0,0,0,0,,二ゴロ,四球,,三ゴロ,,中飛,,,,,,2025/03/30,ロッテ,1,2025RS
(二),牧原 大成,.400,4,0,1,1,0,0,0,0,0,0,0,,中飛,左安,,遊ゴロ,,,二ゴロ,,,,,2025/03/30,ロッテ,1,2025RS
(三),リチャード,.083,4,0,1,0,2,0,0,0,0,0,0,,左２,投ゴロ,,,空三振,,空三振,,,,,2025/03/30,ロッテ,1,2025RS
捕,谷川原 健太,.000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,ロッテ,0,2025RS
(捕),海野 隆司,.333,3,0,0,0,1,0,0,0,0,0,0,,左飛,,遊ゴロ,,空三振,,,,,,,2025/03/30,ロッテ,1,2025RS
打三,ダウンズ,.000,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,見三振,,,,,2025/03/30,ロッテ,0,2025RS
(中),周東 佑京,.316,4,2,1,1,1,1,0,0,1,0,0,四球,左２,,見三振,,遊ゴロ,,,遊ゴロ,,,,2025/04/01,日本ハム,1,2025RS
(指),中村 晃,.333,5,0,2,1,1,0,0,0,0,0,0,右安,右安,,空三振,,,左飛,,一ゴロ,,,,2025/04/01,日本ハム,1,2025RS
(左),柳田 悠岐,.353,4,1,2,2,1,1,0,0,0,0,1,右安,空三振,,,中本,,四球,,二ゴロ,,,,2025/04/01,日本ハム,1,2025RS
右,川村 友斗,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/01,日本ハム,0,2025RS
(一),山川 穂高,.118,4,0,1,0,1,0,0,0,0,0,0,右飛,,左安,,三ゴロ,,空三振,,,,,,2025/04/01,日本ハム,1,2025RS
(右),正木 智也,.333,4,0,1,0,0,0,0,0,0,0,0,投ゴロ,,左安,,三ゴロ,,二ゴロ,,,,,,2025/04/01,日本ハム,1,2025RS
左,緒方 理貢,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/01,日本ハム,0,2025RS
(遊),今宮 健太,.214,4,1,1,1,0,0,0,0,0,0,1,二ゴロ,,左飛,,左本,,,右飛,,,,,2025/04/01,日本ハム,1,2025RS
(二),牧原 大成,.222,4,0,0,0,0,0,0,0,0,0,0,,二ゴロ,中飛,,二ゴロ,,,三邪飛,,,,,2025/04/01,日本ハム,1,2025RS
(三),リチャード,.125,4,1,1,0,2,0,0,0,0,0,0,,左２,見三振,,,空三振,,左飛,,,,,2025/04/01,日本ハム,1,2025RS
(捕),海野 隆司,.300,4,0,1,0,1,0,0,0,0,0,0,,左飛,,投ゴロ,,空三振,,,左２,,,,2025/04/01,日本ハム,1,2025RS
(中),周東 佑京,.333,5,0,2,0,1,0,0,0,0,0,0,一ゴロ,,三安,,投安,,三飛,,空三振,,,,2025/04/02,日本ハム,1,2025RS
(指),中村 晃,.375,2,0,1,0,0,2,0,0,0,0,0,左安,,二併打,,四球,,四球,,,,,,2025/04/02,日本ハム,1,2025RS
走指,野村 勇,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,日本ハム,0,2025RS
(左),柳田 悠岐,.286,4,0,0,0,2,0,0,0,0,0,0,見三振,,遊ゴロ,,中飛,,空三振,,,,,,2025/04/02,日本ハム,1,2025RS
(一),山川 穂高,.095,4,0,0,0,1,0,0,0,0,0,0,右飛,,,空三振,二ゴロ,,右飛,,,,,,2025/04/02,日本ハム,1,2025RS
(右),正木 智也,.333,3,1,1,0,0,1,0,0,0,0,0,,左安,,遊ゴロ,,四球,,三ゴロ,,,,,2025/04/02,日本ハム,1,2025RS
(遊),今宮 健太,.235,3,0,1,1,0,1,0,0,0,0,0,,左飛,,四球,,左安,,遊ゴロ,,,,,2025/04/02,日本ハム,1,2025RS
(二),ダウンズ,.182,4,0,2,0,0,0,0,0,0,0,0,,右安,,中安,,中飛,,右飛,,,,,2025/04/02,日本ハム,1,2025RS
(三),リチャード,.100,4,0,0,0,2,0,0,0,0,1,0,,二併打,,空三振,,空三振,,,投ゴロ,,,,2025/04/02,日本ハム,1,2025RS
(捕),谷川原 健太,.000,2,0,0,0,1,1,0,0,0,0,0,,,四球,,空三振,右飛,,,,,,,2025/04/02,日本ハム,1,2025RS
打,牧原 大成,.200,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,二飛,,,,2025/04/02,日本ハム,0,2025RS
(中),周東 佑京,.310,5,0,1,0,1,0,0,0,0,1,0,二ゴロ,,遊ゴロ,,見三振,,,左安,一飛,,,,2025/04/04,西武,1,2025RS
(遊三),川瀬 晃,.333,3,0,1,0,0,0,0,0,0,0,0,左安,,右飛,,,遊ゴロ,,,,,,,2025/04/04,西武,1,2025RS
打三,ダウンズ,.167,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,三直,,,,,2025/04/04,西武,0,2025RS
