o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
巨人,吉川,中日,宇佐見,メヒア,2024-08-10,2,0,2024RS
巨人,立岡,中日,宇佐見,岩嵜 翔,2024-08-10,0,1,2024RS
ヤクルト,長岡,中日,木下,高橋 宏斗,2024-08-13,1,0,2024RS
阪神,近本,中日,宇佐見,フェリス,2024-08-17,1,0,2024RS
阪神,近本,中日,木下,マルティネス,2024-08-17,1,0,2024RS
阪神,梅野,中日,宇佐見,藤嶋 健人,2024-08-17,0,1,2024RS
広島,秋山,中日,加藤匠,松山 晋也,2024-08-27,1,0,2024RS
---,---,中日,加藤匠,---,2024-12-01,-1,-1,2024RS
---,---,中日,木下,---,2024-12-01,-2,-3,2024RS
広島,菊池,中日,宇佐見,齋藤 綱記,2024-09-07,0,1,2024RS
ヤクルト,並木,中日,木下,岩嵜 翔,2024-09-12,1,0,2024RS
