position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(中),梶原 昂希,.250,4,0,1,1,1,0,0,0,0,0,0,三邪飛,,空三振,,中安,,中飛,,,,,,2025/03/28,中日,1,2025RS
(二),牧 秀悟,.250,4,1,1,0,0,0,0,0,0,0,0,左安,,左飛,,一邪飛,,二ゴロ,,,,,,2025/03/28,中日,1,2025RS
(左),筒香 嘉智,.250,4,1,1,0,0,0,0,0,0,0,0,中飛,,一飛,,,中２,遊飛,,,,,,2025/03/28,中日,1,2025RS
左,神里 和毅,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,中日,0,2025RS
(一),オースティン,.333,3,1,1,1,1,1,0,0,0,0,0,右２,,,空三振,,四球,,右飛,,,,,2025/03/28,中日,1,2025RS
三,柴田 竜拓,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,中日,0,2025RS
(三),宮﨑 敏郎,.667,3,1,2,1,0,1,0,0,0,0,0,,左安,,投ゴロ,,中安,,四球,,,,,2025/03/28,中日,1,2025RS
走一,京田 陽太,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,中日,0,2025RS
(右),蝦名 達夫,.000,3,0,0,0,1,0,1,0,0,0,0,,死球,,三ゴロ,,空三振,,二併打,,,,,2025/03/28,中日,1,2025RS
(捕),山本 祐大,.000,2,0,0,1,0,0,0,0,0,0,0,,遊併打,,,三邪飛,右犠飛,,,,,,,2025/03/28,中日,1,2025RS
(遊),森 敬斗,.667,3,1,2,1,0,0,0,0,0,1,0,,左安,,,二安,左飛,,,,,,,2025/03/28,中日,1,2025RS
(投),東 克樹,.000,1,0,0,0,0,0,0,1,0,0,0,,二ゴロ,,,投犠打,,,,,,,,2025/03/28,中日,1,2025RS
打,三森 大貴,1.000,1,0,1,0,0,0,0,0,1,0,0,,,,,,,左安,,,,,,2025/03/28,中日,0,2025RS
投,山﨑 康晃,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,中日,0,2025RS
投,入江 大生,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,中日,0,2025RS
(中),梶原 昂希,.250,4,0,1,0,0,0,0,0,0,0,0,右飛,,遊飛,,,中安,,,投ゴロ,,,,2025/03/29,中日,1,2025RS
(二),牧 秀悟,.125,4,0,0,0,2,0,0,0,0,0,0,空三振,,空三振,,,三邪飛,,,中飛,,,,2025/03/29,中日,1,2025RS
(左),筒香 嘉智,.250,4,0,1,0,1,0,0,0,0,0,0,遊ゴロ,,,一安,,,捕邪飛,,空三振,,,,2025/03/29,中日,1,2025RS
(一),オースティン,.167,3,0,0,0,1,0,0,0,0,0,0,,見三振,,投直,,,一ゴロ,,,,,,2025/03/29,中日,1,2025RS
(三),宮﨑 敏郎,.333,3,0,0,0,1,0,0,0,0,0,0,,空三振,,三直,,,三ゴロ,,,,,,2025/03/29,中日,1,2025RS
