position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(二),小深田 大翔,.000,4,0,0,0,1,0,0,0,0,0,0,二ゴロ,,,空三振,,,二ゴロ,,二ゴロ,,,,2025/03/28,オリックス,1,2025RS
(遊),宗山 塁,.250,4,0,1,1,1,0,0,0,0,0,0,空三振,,,二ゴロ,,,二ゴロ,,右安,,,,2025/03/28,オリックス,1,2025RS
(右),小郷 裕哉,.250,4,0,1,0,1,0,0,0,0,0,0,三ゴロ,,,見三振,,,遊ゴロ,,中安,,,,2025/03/28,オリックス,1,2025RS
(中),辰己 涼介,.250,4,1,1,0,1,0,0,0,0,0,0,,三直,,,三邪飛,,,一安,空三振,,,,2025/03/28,オリックス,1,2025RS
(一),浅村 栄斗,.000,4,0,0,0,1,0,0,0,0,0,0,,左飛,,,三ゴロ,,,遊飛,見三振,,,,2025/03/28,オリックス,1,2025RS
(三),村林 一輝,.000,2,0,0,0,0,0,0,0,0,0,0,,一飛,,,中飛,,,,,,,,2025/03/28,オリックス,1,2025RS
打,フランコ,1.000,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,右安,,,,,2025/03/28,オリックス,0,2025RS
走左,武藤 敦貴,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,オリックス,0,2025RS
(指),伊藤 裕季也,.000,2,0,0,1,1,0,0,0,0,0,0,,,見三振,,,一飛,,右犠飛,,,,,2025/03/28,オリックス,1,2025RS
(捕),太田 光,.000,2,0,0,0,0,0,0,0,0,0,0,,,左飛,,,遊ゴロ,,,,,,,2025/03/28,オリックス,1,2025RS
打,鈴木 大地,.000,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,空三振,,,,,2025/03/28,オリックス,0,2025RS
捕,石原 彪,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,オリックス,0,2025RS
(左),田中 和基,.000,2,0,0,0,2,0,0,0,0,0,0,,,空三振,,,見三振,,,,,,,2025/03/28,オリックス,1,2025RS
三,阿部 寿樹,1.000,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,左２,,,,2025/03/28,オリックス,0,2025RS
走,小森 航大郎,-,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,オリックス,0,2025RS
