wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
W,伊藤 大海,6,101,23,4,0,9,1,0,0,0,0,田宮,2024/03/29,ロッテ,1,2024RS
,マーフィー,1,14,3,0,0,1,0,0,0,0,0,田宮,2024/03/29,ロッテ,0,2024RS
,金村 尚真,1,11,3,0,0,1,0,0,0,0,0,田宮,2024/03/29,ロッテ,0,2024RS
,田中 正義,1,16,5,2,0,0,0,0,0,1,1,田宮,2024/03/29,ロッテ,0,2024RS
L,加藤 貴之,6,76,23,4,0,2,0,0,0,3,3,田宮,2024/03/30,ロッテ,1,2024RS
,山本 拓実,1,9,3,0,0,0,0,0,0,0,0,田宮,2024/03/30,ロッテ,0,2024RS
,北浦 竜次,1,11,3,0,0,0,0,0,0,0,0,田宮,2024/03/30,ロッテ,0,2024RS
,上原 健太,4,62,21,8,0,2,2,0,0,2,2,田宮,2024/03/31,ロッテ,1,2024RS
,杉浦 稔大,1,22,4,1,0,1,0,0,0,0,0,田宮,2024/03/31,ロッテ,0,2024RS
,河野 竜生,1,10,3,0,0,1,0,0,0,0,0,田宮,2024/03/31,ロッテ,0,2024RS
,マーフィー,1,16,3,1,0,0,0,0,0,0,0,田宮,2024/03/31,ロッテ,0,2024RS
W,北浦 竜次,1,11,5,1,0,0,1,0,0,0,0,田宮,2024/03/31,ロッテ,0,2024RS
S,田中 正義,1,18,3,1,0,1,0,0,0,0,0,田宮,2024/03/31,ロッテ,0,2024RS
L,山崎 福也,6.1,100,26,6,1,3,0,0,0,3,2,伏見,2024/04/02,楽天,1,2024RS
,生田目 翼,0.2,10,3,0,0,0,1,0,0,0,0,伏見,2024/04/02,楽天,0,2024RS
,北浦 竜次,1,8,3,0,0,0,0,0,0,0,0,田宮,2024/04/02,楽天,0,2024RS
,マーフィー,1,11,4,1,1,0,0,0,0,1,1,田宮,2024/04/02,楽天,0,2024RS
W,北山 亘基,6.1,107,22,2,0,10,1,0,0,1,1,田宮,2024/04/03,楽天,1,2024RS
H,河野 竜生,0.2,10,2,0,0,0,0,0,0,0,0,田宮,2024/04/03,楽天,0,2024RS
H,金村 尚真,1,7,3,0,0,1,0,0,0,0,0,田宮,2024/04/03,楽天,0,2024RS
S,田中 正義,1,21,5,1,0,1,0,0,0,1,0,田宮,2024/04/03,楽天,0,2024RS
,伊藤 大海,7,95,25,3,1,7,1,0,0,2,2,田宮,2024/04/05,西武,1,2024RS
H,金村 尚真,2,29,9,2,0,0,1,0,0,0,0,田宮,2024/04/05,西武,0,2024RS
H,田中 正義,1,9,3,0,0,0,0,0,0,0,0,田宮,2024/04/05,西武,0,2024RS
H,河野 竜生,1,14,3,0,0,0,0,0,0,0,0,田宮,2024/04/05,西武,0,2024RS
W,北浦 竜次,1,22,4,1,0,1,0,0,0,0,0,田宮,2024/04/05,西武,0,2024RS
L,加藤 貴之,4,67,18,7,2,2,1,0,0,4,4,田宮,2024/04/06,西武,1,2024RS
,鈴木 健矢,2,33,7,0,0,1,0,1,0,0,0,田宮,2024/04/06,西武,0,2024RS
,杉浦 稔大,1,16,4,1,0,1,0,0,0,0,0,田宮,2024/04/06,西武,0,2024RS
,マーフィー,1,11,3,0,0,1,0,0,0,0,0,田宮,2024/04/06,西武,0,2024RS
,山本 拓実,1,25,7,2,0,1,2,0,0,1,1,田宮,2024/04/06,西武,0,2024RS
L,上原 健太,5,87,23,6,0,3,2,0,0,5,5,田宮,2024/04/07,西武,1,2024RS
,生田目 翼,2.0,46,11,3,0,1,2,0,0,5,5,田宮,2024/04/07,西武,0,2024RS
,山本 拓実,1,16,5,2,0,0,0,0,0,1,1,田宮,2024/04/07,西武,0,2024RS
,杉浦 稔大,1,16,4,1,0,0,1,0,0,0,0,伏見,2024/04/07,西武,0,2024RS
W,山崎 福也,6.0,106,27,9,1,5,1,1,0,2,2,伏見,2024/04/09,ソフトバンク,1,2024RS
,杉浦 稔大,0.0,9,1,0,0,0,1,0,0,0,0,伏見,2024/04/09,ソフトバンク,0,2024RS
H,北浦 竜次,0.2,6,2,0,0,1,0,0,0,0,0,伏見,2024/04/09,ソフトバンク,0,2024RS
H,金村 尚真,1.1,21,5,0,0,2,1,0,0,0,0,伏見,2024/04/09,ソフトバンク,0,2024RS
S,田中 正義,1,8,3,1,0,0,0,0,0,0,0,伏見,2024/04/09,ソフトバンク,0,2024RS
,北山 亘基,5.2,106,24,3,0,10,4,0,0,3,3,田宮,2024/04/11,ソフトバンク,1,2024RS
H,北浦 竜次,0.1,2,1,0,0,0,0,0,0,0,0,田宮,2024/04/11,ソフトバンク,0,2024RS
