wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
W,黒木 優太,0.1,10,2,0,0,0,1,0,0,0,0,牧野,2025/04/17,オリックス,0,2025RS
H,佐藤 隼輔,1,17,5,1,0,0,1,0,0,0,0,古賀悠,2025/04/17,オリックス,0,2025RS
H,ウィンゲンター,1,18,5,1,0,1,1,0,0,0,0,古賀悠,2025/04/17,オリックス,0,2025RS
S,平良 海馬,1,10,4,1,0,1,0,0,0,0,0,古賀悠,2025/04/17,オリックス,0,2025RS
W,今井 達也,8,117,27,0,0,9,3,0,0,1,1,古賀悠,2025/04/18,ソフトバンク,1,2025RS
S,平良 海馬,1,7,3,0,0,1,0,0,0,0,0,古賀悠,2025/04/18,ソフトバンク,0,2025RS
W,隅田 知一郎,9,104,30,4,0,9,0,0,0,0,0,古賀悠,2025/04/19,ソフトバンク,1,2025RS
L,渡邉 勇太朗,5,81,25,9,0,2,1,0,0,3,3,古賀悠,2025/04/20,ソフトバンク,1,2025RS
,羽田 慎之介,1,8,3,0,0,2,0,0,0,0,0,古賀悠,2025/04/20,ソフトバンク,0,2025RS
,田村 伊知郎,1,5,3,1,0,0,0,0,0,0,0,古賀悠,2025/04/20,ソフトバンク,0,2025RS
,E.ラミレス,1,10,3,0,0,1,0,0,0,0,0,古賀悠,2025/04/20,ソフトバンク,0,2025RS
,山田 陽翔,1,16,6,2,0,0,1,0,0,0,0,古賀悠,2025/04/20,ソフトバンク,0,2025RS
,高橋 光成,6,115,26,6,0,3,2,0,0,1,0,古賀悠,2025/04/22,ロッテ,1,2025RS
H,佐藤 隼輔,1,18,4,0,0,1,1,0,0,0,0,炭谷,2025/04/22,ロッテ,0,2025RS
H,ウィンゲンター,1,15,3,0,0,2,0,0,0,0,0,炭谷,2025/04/22,ロッテ,0,2025RS
H,E.ラミレス,1,17,5,1,0,2,1,0,0,0,0,炭谷,2025/04/22,ロッテ,0,2025RS
L,平良 海馬,0.1,18,5,2,0,0,1,0,0,1,0,炭谷,2025/04/22,ロッテ,0,2025RS
L,菅井 信也,3,71,17,5,0,3,3,0,0,4,4,炭谷,2025/04/23,ロッテ,1,2025RS
,黒木 優太,1,23,5,1,0,1,1,0,0,1,1,炭谷,2025/04/23,ロッテ,0,2025RS
,羽田 慎之介,1,10,4,2,0,1,0,0,0,0,0,炭谷,2025/04/23,ロッテ,0,2025RS
,山田 陽翔,2,25,6,0,0,2,0,0,0,0,0,古賀悠,2025/04/23,ロッテ,0,2025RS
,田村 伊知郎,1,13,4,0,0,1,0,1,0,0,0,古賀悠,2025/04/23,ロッテ,0,2025RS
,今井 達也,7,117,27,3,0,9,3,0,0,0,0,古賀悠,2025/04/25,オリックス,1,2025RS
H,ウィンゲンター,1,14,3,0,0,1,1,0,0,0,0,古賀悠,2025/04/25,オリックス,0,2025RS
,平良 海馬,1,17,5,2,0,1,0,0,0,2,1,古賀悠,2025/04/25,オリックス,0,2025RS
L,佐藤 隼輔,1,31,8,3,1,1,2,0,0,4,4,古賀悠,2025/04/25,オリックス,0,2025RS
W,隅田 知一郎,7,114,28,7,0,11,1,0,0,0,0,古賀悠,2025/04/26,オリックス,1,2025RS
H,ウィンゲンター,1,9,3,0,0,1,0,0,0,0,0,古賀悠,2025/04/26,オリックス,0,2025RS
S,平良 海馬,1,15,3,0,0,1,0,0,0,0,0,古賀悠,2025/04/26,オリックス,0,2025RS
,渡邉 勇太朗,7,108,28,3,1,5,3,1,0,2,2,古賀悠,2025/04/27,オリックス,1,2025RS
H,山田 陽翔,1,16,4,1,0,0,0,0,0,0,0,古賀悠,2025/04/27,オリックス,0,2025RS
W,甲斐野 央,1,25,6,3,0,0,1,0,0,0,0,古賀悠,2025/04/27,オリックス,0,2025RS
W,高橋 光成,6,88,23,4,0,2,2,0,0,0,0,古賀悠,2025/04/29,楽天,1,2025RS
,羽田 慎之介,1,20,4,0,0,1,1,0,0,0,0,古賀悠,2025/04/29,楽天,0,2025RS
,田村 伊知郎,1,34,7,2,0,2,1,1,0,1,1,古賀悠,2025/04/29,楽天,0,2025RS
,E.ラミレス,1,23,6,1,0,0,2,0,0,0,0,古賀悠,2025/04/29,楽天,0,2025RS
W,菅井 信也,5,65,19,1,1,4,3,0,0,1,1,炭谷,2025/04/30,楽天,1,2025RS
H,甲斐野 央,1,13,4,1,0,2,0,0,0,0,0,炭谷,2025/04/30,楽天,0,2025RS
H,山田 陽翔,1,14,4,1,0,0,0,0,0,0,0,炭谷,2025/04/30,楽天,0,2025RS
H,ウィンゲンター,1,15,3,0,0,1,0,0,0,0,0,炭谷,2025/04/30,楽天,0,2025RS
S,平良 海馬,1,15,4,0,0,1,1,0,0,0,0,炭谷,2025/04/30,楽天,0,2025RS
,與座 海人,6,75,20,1,0,3,1,0,0,0,0,牧野,2025/05/01,楽天,1,2025RS
H,甲斐野 央,1,11,4,1,0,1,0,0,0,0,0,炭谷,2025/05/01,楽天,0,2025RS
H,佐藤 隼輔,1,14,5,2,0,1,0,0,0,0,0,炭谷,2025/05/01,楽天,0,2025RS
,ウィンゲンター,1,19,4,1,0,1,0,0,0,1,1,炭谷,2025/05/01,楽天,0,2025RS
W,羽田 慎之介,1,7,4,1,0,1,0,0,0,0,0,炭谷,2025/05/01,楽天,0,2025RS
W,今井 達也,7,119,28,4,0,10,3,1,0,0,0,古賀悠,2025/05/03,日本ハム,1,2025RS
,佐藤 隼輔,0.1,12,4,2,1,0,1,0,0,3,3,古賀悠,2025/05/03,日本ハム,0,2025RS
H,山田 陽翔,0.2,7,2,0,0,1,0,0,0,0,0,古賀悠,2025/05/03,日本ハム,0,2025RS
S,平良 海馬,1,9,3,0,0,0,0,0,0,0,0,古賀悠,2025/05/03,日本ハム,0,2025RS
L,隅田 知一郎,6,77,25,7,1,1,1,0,0,3,3,古賀悠,2025/05/04,日本ハム,1,2025RS
,隅田 知一郎,2,31,8,1,0,3,1,0,0,0,0,炭谷,2025/05/04,日本ハム,0,2025RS
L,渡邉 勇太朗,7,108,30,5,1,5,5,0,0,2,2,古賀悠,2025/05/05,ソフトバンク,1,2025RS
,水上 由伸,1,17,5,2,0,0,1,0,0,0,0,古賀悠,2025/05/05,ソフトバンク,0,2025RS
,田村 伊知郎,1,10,3,0,0,1,0,0,0,0,0,炭谷,2025/05/05,ソフトバンク,0,2025RS
L,上田 大河,5,117,31,12,0,2,4,0,0,10,10,炭谷,2025/05/06,ソフトバンク,1,2025RS
,佐藤 隼輔,2,12,6,1,0,0,0,0,0,0,0,牧野,2025/05/06,ソフトバンク,0,2025RS
,E.ラミレス,1,13,3,0,0,2,0,0,0,0,0,牧野,2025/05/06,ソフトバンク,0,2025RS
,田村 伊知郎,1,14,4,1,0,2,0,0,0,0,0,牧野,2025/05/06,ソフトバンク,0,2025RS
W,高橋 光成,5,89,21,6,1,0,4,0,0,1,1,古賀悠,2025/05/07,ソフトバンク,1,2025RS
H,羽田 慎之介,1,14,3,0,0,1,0,0,0,0,0,古賀悠,2025/05/07,ソフトバンク,0,2025RS
H,甲斐野 央,1,9,3,0,0,1,0,0,0,0,0,古賀悠,2025/05/07,ソフトバンク,0,2025RS
H,ウィンゲンター,1,12,3,0,0,2,0,0,0,0,0,古賀悠,2025/05/07,ソフトバンク,0,2025RS
,山田 陽翔,1,13,3,0,0,1,1,0,0,0,0,古賀悠,2025/05/07,ソフトバンク,0,2025RS
W,與座 海人,6,88,23,4,0,3,0,2,0,0,0,牧野,2025/05/09,ロッテ,1,2025RS
H,甲斐野 央,1,11,4,0,0,1,1,0,0,0,0,牧野,2025/05/09,ロッテ,0,2025RS
H,ウィンゲンター,1,18,4,0,0,2,1,0,0,0,0,牧野,2025/05/09,ロッテ,0,2025RS
S,平良 海馬,1,16,4,0,0,2,1,0,0,0,0,牧野,2025/05/09,ロッテ,0,2025RS
W,今井 達也,7,114,24,3,0,10,0,0,0,0,0,古賀悠,2025/05/10,ロッテ,1,2025RS
,山田 陽翔,1,16,3,1,0,0,0,0,0,0,0,古賀悠,2025/05/10,ロッテ,0,2025RS
,田村 伊知郎,1,10,4,1,0,0,0,0,0,0,0,古賀悠,2025/05/10,ロッテ,0,2025RS
W,隅田 知一郎,7,98,27,3,0,8,2,0,0,0,0,古賀悠,2025/05/11,ロッテ,1,2025RS
,佐藤 隼輔,1,14,5,1,0,0,1,0,0,0,0,古賀悠,2025/05/11,ロッテ,0,2025RS
,E.ラミレス,1,8,3,0,0,1,0,0,0,0,0,古賀悠,2025/05/11,ロッテ,0,2025RS
L,菅井 信也,5.1,101,23,4,0,8,4,0,0,2,2,炭谷,2025/05/13,ソフトバンク,1,2025RS
