wls,pitcher,innings,opotunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
L,菅　野,7,27,4,3,3,1,1,小林,2019/03/29,広島,1,2019RS
,大　江,0.2,4,1,0,1,2,1,小林,2019/03/29,広島,0,2019RS
,宮　國,0.1,4,2,0,1,2,1,小林,2019/03/29,広島,0,2019RS
W,ヤングマン,6,23,4,3,2,1,1,炭谷,2019/03/30,広島,1,2019RS
,吉川光,1,5,2,1,0,1,1,炭谷,2019/03/30,広島,0,2019RS
,中　川,1,4,1,0,0,0,0,小林,2019/03/30,広島,0,2019RS
S,クック,1,3,0,0,0,0,0,小林,2019/03/30,広島,0,2019RS
,畠,5.2,25,6,8,2,2,2,小林,2019/03/31,広島,1,2019RS
,戸　根,0.1,1,0,0,0,0,0,小林,2019/03/31,広島,0,2019RS
,吉川光,1,4,1,0,1,0,0,小林,2019/03/31,広島,0,2019RS
,桜　井,0,2,2,0,0,1,1,小林,2019/03/31,広島,0,2019RS
W,中　川,1,2,0,1,0,0,0,小林,2019/03/31,広島,0,2019RS
S,クック,1,4,1,2,0,0,0,小林,2019/03/31,広島,0,2019RS
W,山　口,7,31,5,6,5,3,3,小林,2019/04/02,阪神,1,2019RS
,今　村,1,5,1,0,1,0,0,小林,2019/04/02,阪神,0,2019RS
,宮　國,1,3,0,1,0,0,0,小林,2019/04/02,阪神,0,2019RS
W,メルセデス,8,31,8,7,0,3,3,大城,2019/04/03,阪神,1,2019RS
S,クック,1,4,1,1,1,0,0,小林,2019/04/03,阪神,0,2019RS
W,高　橋,6,22,4,5,1,1,1,炭谷,2019/04/04,阪神,1,2019RS
,桜　井,1,4,1,1,0,0,0,炭谷,2019/04/04,阪神,0,2019RS
,桜　井,1,3,0,0,0,0,0,大城,2019/04/04,阪神,0,2019RS
,大　江,1,5,1,1,0,0,0,大城,2019/04/04,阪神,0,2019RS
W,菅　野,9,33,6,8,1,2,2,小林,2019/04/05,横浜,1,2019RS
L,澤　村,3,15,3,2,3,4,4,大城,2019/04/06,横浜,1,2019RS
,宮　國,0.1,2,0,0,1,1,1,大城,2019/04/06,横浜,0,2019RS
,大　江,1.2,6,1,1,0,0,0,大城,2019/04/06,横浜,0,2019RS
,今　村,2,11,4,0,1,3,3,大城,2019/04/06,横浜,0,2019RS
,戸　根,1,6,1,1,1,1,0,大城,2019/04/06,横浜,0,2019RS
L,畠,4.1,21,7,2,2,5,3,小林,2019/04/07,横浜,1,2019RS
,戸　根,0.2,3,1,1,0,0,0,小林,2019/04/07,横浜,0,2019RS
,桜　井,1,3,0,1,0,0,0,大城,2019/04/07,横浜,0,2019RS
,吉川光,1,3,0,1,0,0,0,大城,2019/04/07,横浜,0,2019RS
,中　川,1,4,1,0,0,0,0,大城,2019/04/07,横浜,0,2019RS
W,山　口,7,28,6,6,2,1,1,小林,2019/04/09,中日,1,2019RS
,吉川光,1,4,2,0,0,0,0,小林,2019/04/09,中日,0,2019RS
S,クック,1,4,1,0,0,0,0,小林,2019/04/09,中日,0,2019RS
L,メルセデス,7,27,5,6,3,3,3,大城,2019/04/10,中日,1,2019RS
,中　川,1,4,1,3,0,0,0,大城,2019/04/10,中日,0,2019RS
W,菅　野,7,26,4,9,1,1,1,小林,2019/04/12,ヤクルト,1,2019RS
,中　川,1,3,0,1,0,0,0,大城,2019/04/12,ヤクルト,0,2019RS
,宮　國,1,3,0,1,0,0,0,大城,2019/04/12,ヤクルト,0,2019RS
,ヤングマン,4,20,7,3,1,4,4,炭谷,2019/04/13,ヤクルト,1,2019RS
,桜　井,1,2,0,0,0,0,0,炭谷,2019/04/13,ヤクルト,0,2019RS
,戸　根,1,4,1,0,0,0,0,炭谷,2019/04/13,ヤクルト,0,2019RS
L,吉川光,1,6,2,1,1,3,3,炭谷,2019/04/13,ヤクルト,0,2019RS
,坂本工,1,7,3,2,1,3,3,炭谷,2019/04/13,ヤクルト,0,2019RS
,大　江,1,5,2,1,0,1,1,炭谷,2019/04/13,ヤクルト,0,2019RS
,畠,3,20,9,3,2,6,6,小林,2019/04/14,ヤクルト,1,2019RS
L,宮　國,2,10,2,1,1,3,1,小林,2019/04/14,ヤクルト,0,2019RS
,戸　根,1,4,0,1,1,0,0,小林,2019/04/14,ヤクルト,0,2019RS
,桜　井,1,7,3,1,1,2,2,大城,2019/04/14,ヤクルト,0,2019RS
,中　川,1,4,1,0,0,0,0,大城,2019/04/14,ヤクルト,0,2019RS
,坂本工,1,5,2,1,0,0,0,大城,2019/04/14,ヤクルト,0,2019RS
W,山　口,7,29,3,7,6,2,2,小林,2019/04/16,広島,1,2019RS
,中　川,1,3,0,2,0,0,0,小林,2019/04/16,広島,0,2019RS
,クック,1,3,0,2,0,0,0,小林,2019/04/16,広島,0,2019RS
,高　橋,5.1,23,2,9,7,1,1,炭谷,2019/04/17,広島,1,2019RS
,田　原,1,3,1,0,0,1,1,炭谷,2019/04/17,広島,0,2019RS
,吉川光,0,2,1,0,1,0,0,炭谷,2019/04/17,広島,0,2019RS
,宮　國,0.2,2,0,0,0,0,0,炭谷,2019/04/17,広島,0,2019RS
,中　川,1,3,0,1,0,0,0,炭谷,2019/04/17,広島,0,2019RS
L,クック,1,7,4,1,0,3,3,炭谷,2019/04/17,広島,0,2019RS
W,菅　野,6.2,27,6,7,1,3,3,小林,2019/04/19,阪神,1,2019RS
,戸　根,0.1,1,0,0,0,0,0,小林,2019/04/19,阪神,0,2019RS
,高　木,1,4,2,1,0,0,0,小林,2019/04/19,阪神,0,2019RS
,吉川光,1,5,2,0,0,1,1,小林,2019/04/19,阪神,0,2019RS
W,ヤングマン,8,30,3,6,4,0,0,炭谷,2019/04/20,阪神,1,2019RS
S,クック,1,3,1,0,0,0,0,炭谷,2019/04/20,阪神,0,2019RS
W,メルセデス,7,26,5,5,3,0,0,大城,2019/04/21,阪神,1,2019RS
,中　川,1,3,0,1,0,0,0,小林,2019/04/21,阪神,0,2019RS
S,クック,1,3,1,0,0,0,0,小林,2019/04/21,阪神,0,2019RS
W,山　口,8,27,1,6,3,0,0,小林,2019/04/23,ヤクルト,1,2019RS
,宮　國,1,5,2,0,0,0,0,大城,2019/04/23,ヤクルト,0,2019RS
W,高　橋,5,23,5,4,3,0,0,炭谷,2019/04/24,ヤクルト,1,2019RS
,野　上,3,10,1,3,0,0,0,炭谷,2019/04/24,ヤクルト,0,2019RS
,吉川光,0.1,5,2,1,2,2,2,炭谷,2019/04/24,ヤクルト,0,2019RS
,田　原,0.2,2,0,0,0,0,0,炭谷,2019/04/24,ヤクルト,0,2019RS
L,菅　野,3.1,22,12,2,0,7,7,小林,2019/04/25,ヤクルト,1,2019RS
,高　木,1.2,10,2,2,3,1,1,小林,2019/04/25,ヤクルト,0,2019RS
,森　福,1,3,0,1,0,0,0,小林,2019/04/25,ヤクルト,0,2019RS
,桜　井,1,6,3,1,0,3,3,大城,2019/04/25,ヤクルト,0,2019RS
,戸　根,1,3,1,1,0,0,0,大城,2019/04/25,ヤクルト,0,2019RS
W,メルセデス,6.1,26,7,6,1,2,2,大城,2019/04/27,横浜,1,2019RS
,戸　根,0.1,2,0,0,1,0,0,大城,2019/04/27,横浜,0,2019RS
,田　原,0.1,1,0,0,0,0,0,大城,2019/04/27,横浜,0,2019RS
,中　川,1,5,1,2,1,0,0,小林,2019/04/27,横浜,0,2019RS
S,野　上,1,7,3,2,1,2,2,小林,2019/04/27,横浜,0,2019RS
W,今　村,7,27,2,4,4,0,0,大城,2019/04/28,横浜,1,2019RS
,森　福,0.2,5,3,1,0,2,2,小林,2019/04/28,横浜,0,2019RS
,田　原,0.1,1,0,0,0,0,0,小林,2019/04/28,横浜,0,2019RS
,宮　國,1,3,0,1,0,0,0,小林,2019/04/28,横浜,0,2019RS
