o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
西武,源田,オリックス,若月,鈴木 博志,2024-08-21,1,0,2024RS
西武,佐藤龍,オリックス,若月,曽谷 龍平,2024-08-21,0,1,2024RS
西武,野村大,オリックス,---,曽谷 龍平,2024-08-21,0,1,2024RS
ロッテ,藤原,オリックス,若月,エスピノーザ,2024-08-25,0,1,2024RS
ソフトバンク,牧原大,オリックス,森,ペルドモ888,2024-08-28,1,0,2024RS
楽天,小深田,オリックス,若月,曽谷 龍平,2024-08-30,1,0,2024RS
楽天,小郷,オリックス,若月,エスピノーザ,2024-09-01,2,0,2024RS
楽天,小深田,オリックス,森,高島 泰都,2024-09-02,1,0,2024RS
西武,西川,オリックス,若月,ペルドモ,2024-09-03,0,1,2024RS
---,---,オリックス,若月,---,2024-12-01,-1,3,2024RS
日本ハム,清宮,オリックス,若月,カスティーヨ,2024-09-06,0,1,2024RS
日本ハム,松本剛,オリックス,---,カスティーヨ,2024-09-06,0,1,2024RS
日本ハム,五十幡,オリックス,若月,マチャド,2024-09-06,1,0,2024RS
日本ハム,水野,オリックス,若月,鈴木 博志,2024-09-07,0,1,2024RS
ソフトバンク,牧原大,オリックス,若月,山下 舜平大,2024-09-13,0,1,2024RS
ソフトバンク,周東,オリックス,福永,マチャド,2024-09-15,1,0,2024RS
ソフトバンク,野村,オリックス,福永,ペルドモ,2024-09-15,1,0,2024RS
