position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(左),矢澤 宏太,.000,4,0,0,0,0,0,0,0,0,0,0,遊飛,,中飛,,,右飛,,,左飛,,,,2025/03/28,西武,1,2025RS
(三),清宮 幸太郎,.250,4,1,1,1,1,0,0,0,0,0,1,空三振,,,中飛,,,右本,,中飛,,,,2025/03/28,西武,1,2025RS
(指),レイエス,.500,4,1,2,1,0,0,0,0,0,0,1,遊ゴロ,,,三ゴロ,,,右安,,左中本,,,,2025/03/28,西武,1,2025RS
(一),野村 佑希,.000,4,0,0,0,0,0,0,0,0,0,0,,遊ゴロ,,遊ゴロ,,,三飛,,二ゴロ,,,,2025/03/28,西武,1,2025RS
(捕),田宮 裕涼,.667,3,0,2,0,0,0,0,0,0,0,0,,左２,,,右安,,一併打,,,,,,2025/03/28,西武,1,2025RS
(右),万波 中正,.000,3,0,0,0,0,0,0,0,0,0,0,,左飛,,,右飛,,,遊飛,,,,,2025/03/28,西武,1,2025RS
(二),上川畑 大悟,.333,3,0,1,0,1,0,0,0,0,0,0,,空三振,,,遊飛,,,中安,,,,,2025/03/28,西武,1,2025RS
(遊),水野 達稀,.000,3,0,0,0,1,0,0,0,0,0,0,,,見三振,,,一ゴロ,,一ゴロ,,,,,2025/03/28,西武,1,2025RS
(中),五十幡 亮汰,.000,3,0,0,0,0,0,0,0,0,0,0,,,左飛,,,二ゴロ,,三ゴロ,,,,,2025/03/28,西武,1,2025RS
(右),万波 中正,.375,5,1,3,0,1,0,0,0,0,0,0,左２,,見三振,,三失,,,中安,二安,,,,2025/03/29,西武,1,2025RS
(三),清宮 幸太郎,.111,5,0,0,1,2,0,0,0,0,1,0,一ゴロ,,,左飛,空三振,,,空三振,二ゴロ,,,,2025/03/29,西武,1,2025RS
(指),レイエス,.375,4,1,1,0,1,1,0,0,0,0,0,遊ゴロ,,,左安,,一邪飛,,四球,,空三振,,,2025/03/29,西武,1,2025RS
(左一),野村 佑希,.111,5,0,1,0,0,0,0,0,0,0,0,遊直,,,右２,,中飛,,右飛,,中飛,,,2025/03/29,西武,1,2025RS
(捕),郡司 裕也,.500,4,1,2,1,1,1,0,0,0,0,0,,空三振,,左安,,右飛,,四球,,左２,,,2025/03/29,西武,1,2025RS
捕,伏見 寅威,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,西武,0,2025RS
(一),マルティネス,.333,3,0,1,0,1,0,0,0,0,0,0,,空三振,,右飛,,,右安,,,,,,2025/03/29,西武,1,2025RS
走中,五十幡 亮汰,.000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,西武,0,2025RS
打,吉田 賢吾,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,遊ゴロ,,,,,2025/03/29,西武,0,2025RS
左,矢澤 宏太,.200,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,投安,,,2025/03/29,西武,0,2025RS
(二),上川畑 大悟,.250,5,0,1,1,1,0,0,0,0,0,0,,遊ゴロ,,中飛,,,二併打,,見三振,中安,,,2025/03/29,西武,1,2025RS
(中左中),松本 剛,.000,3,0,0,0,0,2,0,0,0,0,0,,,中飛,,二ゴロ,,四球,,四球,二飛,,,2025/03/29,西武,1,2025RS
(遊),水野 達稀,.000,4,0,0,0,1,0,0,0,0,0,0,,,二ゴロ,,左飛,,一ゴロ,,空三振,,,,2025/03/29,西武,1,2025RS
(中左),矢澤 宏太,.111,4,0,0,0,1,0,0,0,0,0,0,一ゴロ,,遊ゴロ,,空三振,,二ゴロ,,,,,,2025/03/30,西武,1,2025RS
打左,松本 剛,.000,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,死球,,,,2025/03/30,西武,0,2025RS
(三),清宮 幸太郎,.143,5,1,1,0,1,0,0,0,0,1,0,左飛,,中安,,三ゴロ,,二ゴロ,,空三振,,,,2025/03/30,西武,1,2025RS
(指),レイエス,.545,3,3,3,0,0,1,0,0,0,0,0,左２,,四球,,遊２,,,中安,,,,,2025/03/30,西武,1,2025RS
走指,奈良間 大己,-,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,西武,0,2025RS
(一),野村 佑希,.308,4,2,3,6,1,0,0,0,0,0,2,中２,,左本,,左本,,,空三振,,,,,2025/03/30,西武,1,2025RS
(右),万波 中正,.250,4,0,0,0,1,0,0,0,0,0,0,二ゴロ,,空三振,,中飛,,,遊ゴロ,,,,,2025/03/30,西武,1,2025RS
(二),石井 一成,.250,4,0,1,1,0,0,0,0,0,0,0,,二ゴロ,一ゴロ,,,中飛,,左安,,,,,2025/03/30,西武,1,2025RS
(左),吉田 賢吾,.000,3,0,0,0,0,0,0,0,0,0,0,,右飛,,遊ゴロ,,遊ゴロ,,,,,,,2025/03/30,西武,1,2025RS
左,今川 優馬,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,左飛,,,,,2025/03/30,西武,0,2025RS
中,五十幡 亮汰,.000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,西武,0,2025RS
(捕),田宮 裕涼,.429,4,0,1,0,0,0,0,0,0,0,0,,中安,,左飛,,遊飛,,,左飛,,,,2025/03/30,西武,1,2025RS
(遊),上川畑 大悟,.167,4,0,0,0,1,0,0,0,0,0,0,,空三振,,二ゴロ,,,遊ゴロ,,一ゴロ,,,,2025/03/30,西武,1,2025RS
(右),万波 中正,.200,3,0,0,0,0,1,0,0,0,0,0,一邪飛,,四球,,,遊飛,,,一邪飛,,,,2025/04/01,ソフトバンク,1,2025RS
(三),清宮 幸太郎,.167,4,0,1,0,2,0,0,0,0,0,0,空三振,,空三振,,,右安,,,左飛,,,,2025/04/01,ソフトバンク,1,2025RS
(指),レイエス,.400,4,0,0,0,1,0,0,0,0,0,0,一邪飛,,,遊ゴロ,,二併打,,,空三振,,,,2025/04/01,ソフトバンク,1,2025RS
(左),野村 佑希,.333,2,1,1,1,0,0,1,0,0,0,1,,左本,,死球,,,遊ゴロ,,,,,,2025/04/01,ソフトバンク,1,2025RS
(一),マルティネス,.167,3,0,0,0,3,0,0,0,0,0,0,,空三振,,空三振,,,空三振,,,,,,2025/04/01,ソフトバンク,1,2025RS
(中),今川 優馬,.000,3,0,0,0,1,0,0,0,0,0,0,,右飛,,遊飛,,,空三振,,,,,,2025/04/01,ソフトバンク,1,2025RS
(二),上川畑 大悟,.133,3,0,0,0,0,0,0,0,0,0,0,,二ゴロ,,,二ゴロ,,,左邪飛,,,,,2025/04/01,ソフトバンク,1,2025RS
(捕),伏見 寅威,.000,3,0,0,0,0,0,0,0,0,0,0,,,三ゴロ,,捕邪飛,,,投ゴロ,,,,,2025/04/01,ソフトバンク,1,2025RS
(遊),水野 達稀,.000,3,0,0,0,0,0,0,0,0,0,0,,,二ゴロ,,一ゴロ,,,左飛,,,,,2025/04/01,ソフトバンク,1,2025RS
(左),吉田 賢吾,.125,4,1,1,1,0,0,0,0,0,0,1,三ゴロ,,遊ゴロ,,投失,,右本,,,,,,2025/04/02,ソフトバンク,1,2025RS
捕,伏見 寅威,.000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,ソフトバンク,0,2025RS
(三),清宮 幸太郎,.136,4,0,0,1,1,0,0,0,0,0,0,中飛,,遊ゴロ,,遊ゴロ,,空三振,,,,,,2025/04/02,ソフトバンク,1,2025RS
(指),レイエス,.368,4,0,1,1,1,0,0,0,0,0,0,三ゴロ,,,中２,三失,,空三振,,,,,,2025/04/02,ソフトバンク,1,2025RS
(一),野村 佑希,.368,4,0,2,0,1,0,0,0,0,0,0,,左安,,右安,二飛,,見三振,,,,,,2025/04/02,ソフトバンク,1,2025RS
(捕),郡司 裕也,.333,2,0,0,0,0,0,1,0,0,0,0,,死球,,中飛,右飛,,,,,,,,2025/04/02,ソフトバンク,1,2025RS
左,矢澤 宏太,.100,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,三邪飛,,,,,2025/04/02,ソフトバンク,0,2025RS
